付け,始値,高値,安値,終値,出来高,前比%
2021/09/30,"29,569.19","29,622.27","29,311.34","29,452.66",990.27M,-0.31%
2021/09/29,"29,611.92","29,679.26","29,329.16","29,544.29",946.52M,-2.12%
2021/09/28,"30,142.38","30,207.63","30,001.99","30,183.96",898.06M,-0.19%
2021/09/27,"30,277.82","30,414.61","30,197.40","30,240.06",746.36M,-0.03%
2021/09/24,"30,141.61","30,276.38","30,110.30","30,248.81",845.85M,2.06%
2021/09/22,"29,744.73","29,868.10","29,573.88","29,639.40",689.91M,-0.67%
2021/09/21,"30,021.25","30,051.00","29,832.52","29,839.71",763.11M,-2.17%
2021/09/17,"30,387.54","30,541.99","30,358.93","30,500.05",978.60M,0.58%
2021/09/16,"30,606.15","30,622.39","30,202.51","30,323.34",698.64M,-0.62%
2021/09/15,"30,464.17","30,573.41","30,347.30","30,511.71",685.56M,-0.52%
2021/09/14,"30,584.77","30,795.78","30,504.81","30,670.10",790.95M,0.73%
2021/09/13,"30,372.02","30,447.37","30,229.01","30,447.37",646.30M,0.22%
2021/09/10,"30,089.45","30,381.84","30,064.02","30,381.84",888.24M,1.25%
2021/09/09,"29,959.21","30,097.56","29,909.92","30,008.19",788.05M,-0.57%
2021/09/08,"29,819.55","30,241.87","29,787.13","30,181.21",825.31M,0.89%
2021/09/07,"29,883.92","30,048.23","29,838.43","29,916.14",751.54M,0.86%
2021/09/06,"29,501.22","29,705.04","29,469.35","29,659.89",682.79M,1.83%
2021/09/03,"28,626.48","29,149.65","28,607.87","29,128.11",748.76M,2.05%
2021/09/02,"28,522.46","28,626.20","28,412.91","28,543.51",601.42M,0.33%
2021/09/01,"28,179.04","28,457.67","28,179.04","28,451.02",648.04M,1.29%
2021/08/31,"27,690.77","28,158.95","27,602.21","28,089.54",758.54M,1.08%
2021/08/30,"27,867.60","27,921.55","27,656.63","27,789.29",586.30M,0.54%
2021/08/27,"27,581.24","27,670.66","27,481.23","27,641.14",492.12M,-0.36%
2021/08/26,"27,793.63","27,828.28","27,684.50","27,742.29",484.91M,0.06%
2021/08/25,"27,768.13","27,897.72","27,684.05","27,724.80",514.64M,-0.03%
2021/08/24,"27,653.23","27,817.89","27,653.23","27,732.10",570.72M,0.87%
2021/08/23,"27,193.10","27,541.63","27,193.10","27,494.24",567.82M,1.78%
2021/08/20,"27,238.45","27,316.79","26,954.81","27,013.25",758.03M,-0.98%
2021/08/19,"27,398.58","27,504.80","27,255.58","27,281.17",651.28M,-1.10%
2021/08/18,"27,418.08","27,671.57","27,347.77","27,585.91",500.51M,0.59%
2021/08/17,"27,666.94","27,750.39","27,424.47","27,424.47",495.70M,-0.36%
2021/08/16,"27,806.11","27,833.21","27,427.38","27,523.19",571.88M,-1.62%
2021/08/13,"28,038.96","28,070.00","27,949.33","27,977.15",558.18M,-0.14%
2021/08/12,"28,177.20","28,279.80","28,006.31","28,015.02",579.36M,-0.20%
2021/08/11,"28,045.84","28,146.68","27,974.99","28,070.51",671.47M,0.65%
2021/08/10,"27,887.03","28,128.61","27,808.54","27,888.15",614.31M,0.24%
2021/08/06,"27,709.22","27,888.87","27,709.22","27,820.04",563.74M,0.33%
2021/08/05,"27,526.67","27,741.55","27,526.67","27,728.12",559.20M,0.52%
