日付,終値,始値,高値,安値,出来高,前比%
2021/11/10,"29,106.78","29,209.06","29,296.88","29,079.77",638.90M,-0.61%
2021/11/09,"29,285.46","29,557.55","29,750.46","29,240.31",650.45M,-0.75%
2021/11/08,"29,507.05","29,735.45","29,735.45","29,507.05",683.47M,-0.35%
2021/11/05,"29,611.57","29,840.73","29,840.73","29,504.07",735.08M,-0.61%
2021/11/04,"29,794.37","29,859.74","29,880.81","29,718.78",904.00M,0.93%
2021/11/02,"29,520.90","29,462.40","29,599.57","29,457.18",711.16M,-0.43%
2021/11/01,"29,647.08","29,330.68","29,666.83","29,267.63",767.31M,2.61%
2021/10/29,"28,892.69","28,819.16","29,000.65","28,475.06",1.04B,0.25%
2021/10/28,"28,820.09","28,871.61","28,895.11","28,693.06",1.43B,-0.96%
2021/10/27,"29,098.24","29,056.01","29,139.22","28,870.25",705.99M,-0.03%
2021/10/26,"29,106.01","28,927.61","29,160.76","28,893.95",727.76M,1.77%
2021/10/25,"28,600.41","28,527.13","28,668.70","28,472.55",626.68M,-0.71%
2021/10/22,"28,804.85","28,578.53","28,989.50","28,546.57",602.06M,0.34%
2021/10/21,"28,708.58","29,152.74","29,220.82","28,688.78",591.46M,-1.87%
2021/10/20,"29,255.55","29,385.95","29,489.11","29,222.32",661.08M,0.14%
2021/10/19,"29,215.52","29,117.28","29,272.49","29,075.37",576.45M,0.65%
2021/10/18,"29,025.46","29,093.82","29,144.33","28,924.40",625.65M,-0.15%
2021/10/15,"29,068.63","28,787.26","29,082.35","28,726.22",663.48M,1.81%
2021/10/14,"28,550.93","28,264.41","28,576.68","28,234.01",647.53M,1.46%
2021/10/13,"28,140.28","28,085.44","28,364.99","27,993.46",639.33M,-0.32%
2021/10/12,"28,230.61","28,458.88","28,468.88","28,166.38",663.19M,-0.94%
2021/10/11,"28,498.20","27,977.57","28,581.36","27,893.32",722.98M,1.60%
2021/10/08,"28,048.94","28,031.37","28,321.35","28,018.89",826.66M,1.34%
2021/10/07,"27,678.21","27,665.97","28,015.11","27,607.97",795.51M,0.54%
2021/10/06,"27,528.87","28,033.91","28,209.82","27,293.62",1.00B,-1.05%
2021/10/05,"27,822.12","28,050.39","28,058.67","27,460.29",881.94M,-2.19%
2021/10/04,"28,444.89","29,044.47","29,046.06","28,343.58",764.01M,-1.13%
2021/10/01,"28,771.07","29,235.11","29,393.67","28,680.73",821.61M,-2.31%
2021/09/30,"29,452.66","29,569.19","29,622.27","29,311.34",990.27M,-0.31%
2021/09/29,"29,544.29","29,611.92","29,679.26","29,329.16",946.52M,-2.12%
2021/09/28,"30,183.96","30,142.38","30,207.63","30,001.99",898.06M,-0.19%
2021/09/27,"30,240.06","30,277.82","30,414.61","30,197.40",746.36M,-0.03%
2021/09/24,"30,248.81","30,141.61","30,276.38","30,110.30",845.85M,2.06%
2021/09/22,"29,639.40","29,744.73","29,868.10","29,573.88",689.91M,-0.67%
2021/09/21,"29,839.71","30,021.25","30,051.00","29,832.52",763.11M,-2.17%
2021/09/17,"30,500.05","30,387.54","30,541.99","30,358.93",978.60M,0.58%
2021/09/16,"30,323.34","30,606.15","30,622.39","30,202.51",698.64M,-0.62%
2021/09/15,"30,511.71","30,464.17","30,573.41","30,347.30",685.56M,-0.52%
2021/09/14,"30,670.10","30,584.77","30,795.78","30,504.81",790.95M,0.73%
2021/09/13,"30,447.37","30,372.02","30,447.37","30,229.01",646.30M,0.22%
2021/09/10,"30,381.84","30,089.45","30,381.84","30,064.02",888.24M,1.25%
2021/09/09,"30,008.19","29,959.21","30,097.56","29,909.92",788.05M,-0.57%
2021/09/08,"30,181.21","29,819.55","30,241.87","29,787.13",825.31M,0.89%
2021/09/07,"29,916.14","29,883.92","30,048.23","29,838.43",751.54M,0.86%
2021/09/06,"29,659.89","29,501.22","29,705.04","29,469.35",682.79M,1.83%
2021/09/03,"29,128.11","28,626.48","29,149.65","28,607.87",748.76M,2.05%
2021/09/02,"28,543.51","28,522.46","28,626.20","28,412.91",601.42M,0.33%
2021/09/01,"28,451.02","28,179.04","28,457.67","28,179.04",648.04M,1.29%
2021/08/31,"28,089.54","27,690.77","28,158.95","27,602.21",758.54M,1.08%
2021/08/30,"27,789.29","27,867.60","27,921.55","27,656.63",586.30M,0.54%
2021/08/27,"27,641.14","27,581.24","27,670.66","27,481.23",492.12M,-0.36%
2021/08/26,"27,742.29","27,793.63","27,828.28","27,684.50",484.91M,0.06%
2021/08/25,"27,724.80","27,768.13","27,897.72","27,684.05",514.64M,-0.03%
2021/08/24,"27,732.10","27,653.23","27,817.89","27,653.23",570.72M,0.87%
2021/08/23,"27,494.24","27,193.10","27,541.63","27,193.10",567.82M,1.78%
2021/08/20,"27,013.25","27,238.45","27,316.79","26,954.81",758.03M,-0.98%
2021/08/19,"27,281.17","27,398.58","27,504.80","27,255.58",651.28M,-1.10%
2021/08/18,"27,585.91","27,418.08","27,671.57","27,347.77",500.51M,0.59%
2021/08/17,"27,424.47","27,666.94","27,750.39","27,424.47",495.70M,-0.36%
2021/08/16,"27,523.19","27,806.11","27,833.21","27,427.38",571.88M,-1.62%
2021/08/13,"27,977.15","28,038.96","28,070.00","27,949.33",558.18M,-0.14%
2021/08/12,"28,015.02","28,177.20","28,279.80","28,006.31",579.36M,-0.20%
2021/08/11,"28,070.51","28,045.84","28,146.68","27,974.99",671.47M,0.65%
2021/08/10,"27,888.15","27,887.03","28,128.61","27,808.54",614.31M,0.24%
2021/08/06,"27,820.04","27,709.22","27,888.87","27,709.22",563.74M,0.33%
2021/08/05,"27,728.12","27,526.67","27,741.55","27,526.67",559.20M,0.52%
2021/08/04,"27,584.08","27,612.90","27,636.34","27,488.74",675.05M,-0.21%
2021/08/03,"27,641.83","27,580.03","27,724.45","27,492.40",579.45M,-0.50%
2021/08/02,"27,781.02","27,493.32","27,834.60","27,493.32",600.89M,1.82%
2021/07/30,"27,283.59","27,677.89","27,699.35","27,272.49",706.42M,-1.80%
2021/07/29,"27,782.42","27,722.61","27,798.05","27,663.41",677.83M,0.73%
2021/07/28,"27,581.66","27,674.99","27,809.86","27,466.99",570.86M,-1.39%
2021/07/27,"27,970.22","27,911.93","28,036.23","27,862.69",517.00M,0.49%
2021/07/26,"27,833.29","27,990.47","28,036.47","27,786.44",545.42M,1.04%
2021/07/21,"27,548.00","27,747.06","27,882.43","27,438.07",514.11M,0.58%
2021/07/20,"27,388.16","27,351.80","27,564.52","27,330.15",630.10M,-0.96%
2021/07/19,"27,652.74","27,663.40","27,792.52","27,493.63",498.79M,-1.25%
2021/07/16,"28,003.08","28,039.26","28,201.30","27,847.35",503.83M,-0.98%
2021/07/15,"28,279.09","28,539.32","28,571.72","28,240.21",532.04M,-1.15%
