"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA"
"2021/10/01","29,235.11","29,393.67","28,680.73","28,771.07","-681.59","29,638.40","29,516.18","28,624.06"
"2021/09/30","29,569.19","29,622.27","29,311.34","29,452.66","-91.63","29,933.95","29,474.33","28,626.43"
"2021/09/29","29,611.92","29,679.26","29,329.16","29,544.29","-639.67","29,971.30","29,405.51","28,619.84"
"2021/09/28","30,142.38","30,207.63","30,001.99","30,183.96","-56.10","30,030.38","29,323.51","28,610.73"
"2021/09/27","30,277.82","30,414.61","30,197.40","30,240.06","-8.75","30,093.60","29,196.68","28,594.46"
"2021/09/24","30,141.61","30,276.38","30,110.30","30,248.81","+609.41","30,110.26","29,078.32","28,578.18"
"2021/09/22","29,744.73","29,868.10","29,573.88","29,639.40","-200.31","30,162.84","28,971.81","28,560.75"
"2021/09/21","30,021.25","30,051.00","29,832.52","29,839.71","-660.34","30,368.98","28,883.21","28,553.00"
"2021/09/17","30,387.54","30,541.99","30,358.93","30,500.05","+176.71","30,490.51","28,790.55","28,541.08"
"2021/09/16","30,606.15","30,622.39","30,202.51","30,323.34","-188.37","30,466.87","28,689.63","28,518.61"
"2021/09/15","30,464.17","30,573.41","30,347.30","30,511.71","-158.39","30,403.84","28,597.30","28,499.10"
"2021/09/14","30,584.77","30,795.78","30,504.81","30,670.10","+222.73","30,337.74","28,499.65","28,480.93"
"2021/09/13","30,372.02","30,447.37","30,229.01","30,447.37","+65.53","30,186.95","28,388.38","28,452.65"
"2021/09/10","30,089.45","30,381.84","30,064.02","30,381.84","+373.65","30,029.45","28,283.28","28,428.58"
"2021/09/09","29,959.21","30,097.56","29,909.92","30,008.19","-173.02","29,778.70","28,177.13","28,404.21"
"2021/09/08","29,819.55","30,241.87","29,787.13","30,181.21","+265.07","29,485.77","28,080.17","28,382.30"
"2021/09/07","29,883.92","30,048.23","29,838.43","29,916.14","+256.25","29,139.73","27,978.59","28,357.45"
"2021/09/06","29,501.22","29,705.04","29,469.35","29,659.89","+531.78","28,774.41","27,893.19","28,333.21"
"2021/09/03","28,626.48","29,149.65","28,607.87","29,128.11","+584.60","28,400.29","27,798.14","28,311.67"
"2021/09/02","28,522.46","28,626.20","28,412.91","28,543.51","+92.49","28,102.90","27,744.31","28,302.06"
"2021/09/01","28,179.04","28,457.67","28,179.04","28,451.02","+361.48","27,942.65","27,705.84","28,292.47"
"2021/08/31","27,690.77","28,158.95","27,602.21","28,089.54","+300.25","27,797.41","27,686.60","28,287.59"
"2021/08/30","27,867.60","27,921.55","27,656.63","27,789.29","+148.15","27,725.92","27,676.35","28,279.03"
