"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/11/10","164.0","164.0","161.0","161.0","-2.0","233,600","0","75,700","0.00","-","162.00","160.76","175.18","221,740","218,768","314,752"
"2021/11/09","165.0","166.0","163.0","163.0","0.0","230,200","0","76,800","0.00","-","162.20","160.84","175.50","193,780","236,560","314,960"
"2021/11/08","163.0","165.0","161.0","163.0","+1.0","284,700","0","80,300","0.00","-","161.40","161.04","175.80","165,520","242,976","314,900"
"2021/11/05","160.0","162.0","160.0","162.0","+1.0","244,400","4,100","94,100","22.95","-","160.80","161.36","176.12","149,640","248,024","312,432"
"2021/11/04","162.0","162.0","160.0","161.0","-1.0","115,800","4,100","81,000","19.76","-","160.20","161.88","176.45","123,900","244,500","311,797"
"2021/11/02","161.0","162.0","160.0","162.0","+3.0","93,800","11,900","80,400","6.76","-","160.00","162.48","176.81","130,020","273,408","313,644"
"2021/11/01","159.0","161.0","159.0","159.0","-1.0","88,900","11,900","81,800","6.87","-","159.60","163.08","177.12","132,380","368,712","314,002"
"2021/10/29","160.0","160.0","157.0","160.0","+1.0","205,300","11,900","96,600","8.12","-","159.40","163.92","177.45","133,200","394,732","314,669"
"2021/10/28","158.0","160.0","158.0","159.0","-1.0","115,700","15,300","96,400","6.30","-","159.00","164.76","177.76","134,420","400,032","314,334"
"2021/10/27","160.0","160.0","158.0","160.0","0.0","146,400","18,300","78,400","4.28","-","158.80","165.56","178.08","136,540","407,808","316,121"
"2021/10/26","159.0","160.0","158.0","160.0","+2.0","105,600","18,600","77,400","4.16","-","159.00","166.36","178.44","136,720","431,436","315,808"
"2021/10/25","159.0","159.0","158.0","158.0","0.0","93,000","18,600","77,400","4.16","-","159.60","167.20","178.81","142,860","436,520","317,170"
"2021/10/22","158.0","160.0","158.0","158.0","0.0","211,400","18,600","77,400","4.16","-","160.00","168.24","179.18","171,420","450,520","321,285"
"2021/10/21","161.0","162.0","158.0","158.0","-3.0","126,300","18,600","77,400","4.16","-","161.00","169.52","179.52","165,240","459,816","320,024"
"2021/10/20","162.0","163.0","160.0","161.0","-2.0","147,300","18,600","104,800","5.63","-","161.60","170.84","179.86","178,980","474,248","320,261"
"2021/10/19","161.0","163.0","160.0","163.0","+3.0","136,300","18,600","90,000","4.84","-","161.60","172.04","180.18","179,860","486,900","320,081"
"2021/10/18","162.0","163.0","159.0","160.0","-3.0","235,800","18,600","105,800","5.69","-","161.60","173.04","180.48","224,280","491,116","320,885"
"2021/10/15","161.0","164.0","161.0","163.0","+2.0","180,500","18,600","105,500","5.67","-","162.80","174.20","180.84","251,980","496,528","319,532"
"2021/10/14","160.0","161.0","160.0","161.0","0.0","195,000","19,600","104,500","5.33","-","162.00","175.16","181.17","320,400","511,020","318,920"
