"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/09/10","5,020.0","5,208.0","5,020.0","5,205.0","+175.0","1,799,100","21,900","1,300","0.06","-","5,049.00","4,861.52","4,582.46","1,171,640","1,008,460","1,209,201"
"2021/09/09","5,067.0","5,094.0","5,010.0","5,030.0","-45.0","763,600","10,900","800","0.07","-","4,991.80","4,848.92","4,574.65","987,660","1,074,796","1,209,528"
"2021/09/08","5,087.0","5,103.0","5,058.0","5,075.0","+40.0","1,033,100","9,700","900","0.09","-","4,958.20","4,827.32","4,569.08","1,006,800","1,082,392","1,222,104"
"2021/09/07","4,970.0","5,058.0","4,955.0","5,035.0","+135.0","1,331,800","5,100","1,000","0.20","-","4,909.00","4,804.20","4,561.42","993,920","1,079,432","1,228,682"
"2021/09/06","4,919.0","4,928.0","4,876.0","4,900.0","-19.0","930,600","7,600","1,400","0.18","-","4,882.80","4,784.04","4,553.42","920,900","1,078,668","1,228,353"
"2021/09/03","4,870.0","4,962.0","4,870.0","4,919.0","+57.0","879,200","7,500","1,000","0.13","-","4,877.20","4,763.32","4,546.89","918,840","1,102,176","1,238,596"
"2021/09/02","4,830.0","4,879.0","4,822.0","4,862.0","+33.0","859,300","6,100","900","0.15","-","4,857.00","4,743.28","4,539.96","870,040","1,255,964","1,254,681"
"2021/09/01","4,865.0","4,894.0","4,829.0","4,829.0","-75.0","968,700","5,600","1,000","0.18","-","4,832.40","4,726.56","4,532.00","878,340","1,267,824","1,267,213"
"2021/08/31","4,851.0","4,920.0","4,824.0","4,904.0","+32.0","966,700","9,400","800","0.09","-","4,829.80","4,712.00","4,524.62","852,000","1,271,688","1,273,365"
"2021/08/30","4,880.0","4,880.0","4,827.0","4,872.0","+54.0","920,300","7,900","2,000","0.25","-","4,840.40","4,693.84","4,515.42","846,520","1,293,088","1,272,414"
"2021/08/27","4,766.0","4,820.0","4,757.0","4,818.0","+79.0","635,200","6,400","1,000","0.16","-","4,850.20","4,676.84","4,506.44","895,060","1,297,652","1,273,644"
"2021/08/26","4,740.0","4,758.0","4,715.0","4,739.0","-77.0","900,800","10,400","1,500","0.14","-","4,850.60","4,659.32","4,497.36","991,000","1,309,116","1,292,616"
"2021/08/25","4,870.0","4,925.0","4,808.0","4,816.0","-141.0","837,000","11,800","700","0.06","-","4,857.60","4,644.80","4,490.89","944,700","1,304,416","1,294,253"
"2021/08/24","4,941.0","4,972.0","4,922.0","4,957.0","+36.0","939,300","6,600","400","0.06","-","4,844.80","4,628.80","4,483.72","971,200","1,317,124","1,292,709"
"2021/08/23","4,874.0","4,935.0","4,862.0","4,921.0","+101.0","1,163,000","5,800","2,500","0.43","-","4,792.40","4,608.52","4,474.37","897,800","1,328,436","1,300,545"
"2021/08/20","4,788.0","4,869.0","4,788.0","4,820.0","+46.0","1,114,900","4,100","1,600","0.39","-","4,746.60","4,594.00","4,465.34","791,300","1,321,076","1,300,680"
"2021/08/19","4,758.0","4,817.0","4,743.0","4,774.0","+22.0","669,300","1,700","500","0.29","-","4,737.60","4,581.56","4,458.65","677,980","1,309,868","1,306,129"
"2021/08/18","4,750.0","4,802.0","4,748.0","4,752.0","+57.0","969,500","2,300","3,400","1.48","-","4,728.20","4,569.88","4,451.00","693,560","1,329,484","1,318,704"
"2021/08/17","4,710.0","4,724.0","4,679.0","4,695.0","+3.0","572,300","1,000","4,300","4.30","-","4,729.60","4,554.32","4,445.41","765,740","1,356,356","1,316,118"
"2021/08/16","4,771.0","4,796.0","4,690.0","4,692.0","-83.0","630,500","1,900","4,800","2.53","-","4,750.60","4,542.44","4,441.42","979,180","1,388,328","1,315,984"
"2021/08/13","4,735.0","4,780.0","4,719.0","4,775.0","+48.0","548,300","1,200","4,300","3.58","-","4,784.60","4,530.88","4,437.57","1,265,460","1,416,268","1,322,761"
"2021/08/12","4,789.0","4,791.0","4,708.0","4,727.0","-32.0","747,200","1,800","5,400","3.00","-","4,807.60","4,515.88","4,431.33","1,847,300","1,428,320","1,327,686"
"2021/08/11","4,705.0","4,778.0","4,705.0","4,759.0","-41.0","1,330,400","1,800","6,200","3.44","-","4,760.20","4,505.40","4,426.97","1,888,560","1,424,528","1,330,909"
"2021/08/10","4,799.0","4,814.0","4,694.0","4,800.0","-62.0","1,639,500","6,900","10,000","1.45","-","4,707.80","4,495.36","4,421.94","1,814,300","1,410,704","1,328,910"
"2021/08/06","4,820.0","4,898.0","4,801.0","4,862.0","-28.0","2,061,900","14,400","6,600","0.46","-","4,654.00","4,481.96","4,416.81","1,748,940","1,371,972","1,321,706"
"2021/08/05","4,590.0","4,893.0","4,578.0","4,890.0","+400.0","3,457,500","16,900","7,100","0.42","-","4,558.00","4,466.28","4,411.02","1,640,220","1,328,076","1,306,648"
"2021/08/04","4,505.0","4,510.0","4,454.0","4,490.0","-7.0","953,500","300","14,700","49.00","-","4,463.60","4,449.88","4,405.18","1,893,500","1,226,800","1,274,062"
"2021/08/03","4,487.0","4,533.0","4,433.0","4,497.0","-34.0","959,100","700","14,700","21.00","-","4,454.40","4,449.20","4,405.88","1,933,960","1,214,984","1,276,249"
"2021/08/02","4,452.0","4,555.0","4,431.0","4,531.0","+149.0","1,312,700","800","14,800","18.50","-","4,448.00","4,448.84","4,407.29","1,955,200","1,212,372","1,276,020"
"2021/07/30","4,420.0","4,468.0","4,380.0","4,382.0","-36.0","1,518,300","700","16,100","23.00","-","4,431.80","4,444.40","4,407.76","1,993,000","1,192,424","1,271,204"
"2021/07/29","4,428.0","4,471.0","4,408.0","4,418.0","-26.0","4,723,900","1,400","14,800","10.57","-","4,444.80","4,446.60","4,410.53","1,896,220","1,171,400","1,264,856"
