"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/11/10","602.0","613.0","597.0","613.0","+11.0","49,000","100,000","51,600","0.52","-","611.60","609.84","671.50","60,580","86,628","170,856"
"2021/11/09","604.0","617.0","600.0","602.0","0.0","52,700","100,000","52,100","0.52","-","613.00","608.44","673.10","55,900","93,912","180,678"
"2021/11/08","622.0","622.0","600.0","602.0","-13.0","76,900","100,000","44,100","0.44","-","616.60","607.60","674.20","54,240","105,516","182,742"
"2021/11/05","625.0","625.0","613.0","615.0","-11.0","52,500","100,000","45,700","0.46","-","621.00","607.92","675.65","50,040","114,012","184,492"
"2021/11/04","621.0","633.0","620.0","626.0","+6.0","71,800","100,000","44,300","0.44","-","623.60","608.20","676.73","47,360","120,668","187,030"
"2021/11/02","625.0","627.0","620.0","620.0","0.0","25,600","100,000","47,900","0.48","-","624.00","608.32","677.82","41,920","130,376","195,470"
"2021/11/01","628.0","628.0","619.0","620.0","-4.0","44,400","100,000","47,900","0.48","-","624.60","608.36","679.21","47,540","159,276","197,749"
"2021/10/29","624.0","628.0","618.0","624.0","-4.0","55,900","100,000","53,100","0.53","-","622.80","609.56","680.66","49,480","214,516","199,713"
"2021/10/28","627.0","628.0","618.0","628.0","0.0","39,100","100,000","61,100","0.61","-","620.60","614.60","681.77","51,980","257,828","204,285"
"2021/10/27","624.0","628.0","616.0","628.0","+5.0","44,600","100,000","57,100","0.57","-","617.60","616.88","682.52","62,880","281,356","208,981"
"2021/10/26","621.0","623.0","615.0","623.0","+12.0","53,700","100,000","53,600","0.54","-","615.80","620.96","683.82","74,760","289,632","211,653"
"2021/10/25","612.0","613.0","602.0","611.0","-2.0","54,100","100,000","53,300","0.53","-","618.20","625.64","685.28","87,680","294,456","215,198"
"2021/10/22","610.0","624.0","608.0","613.0","0.0","68,400","100,000","53,200","0.53","-","622.40","630.28","686.97","125,480","302,400","219,825"
"2021/10/21","620.0","626.0","612.0","613.0","-6.0","93,600","100,000","59,300","0.59","-","621.60","635.44","689.20","133,200","308,960","226,460"
"2021/10/20","638.0","641.0","619.0","619.0","-16.0","104,000","100,200","59,300","0.59","-","616.60","640.08","691.85","126,100","310,684","234,916"
"2021/10/19","628.0","636.0","625.0","635.0","+3.0","118,300","100,200","57,500","0.57","-","609.60","643.72","694.53","121,080","309,632","246,321"
"2021/10/18","633.0","640.0","622.0","632.0","+23.0","243,100","100,200","50,400","0.50","-","602.20","646.44","696.56","112,520","308,372","252,072"
"2021/10/15","590.0","609.0","590.0","609.0","+21.0","107,000","100,100","67,600","0.68","-","597.40","648.60","698.44","87,100","301,696","267,632"
"2021/10/14","587.0","593.0","586.0","588.0","+4.0","58,100","100,000","56,800","0.57","-","593.20","652.36","700.94","87,040","299,388","320,206"
"2021/10/13","597.0","597.0","582.0","584.0","-14.0","78,900","100,000","58,800","0.59","-","591.00","657.08","702.64","103,420","300,408","328,190"
"2021/10/12","608.0","610.0","597.0","598.0","-10.0","75,500","100,100","63,400","0.63","-","588.20","662.44","704.05","134,800","300,184","332,001"
"2021/10/11","589.0","610.0","585.0","608.0","+20.0","116,000","100,100","60,500","0.60","-","584.20","666.84","705.49","165,920","299,452","335,308"
