日付,始値,高値,安値,終値,出来高,前比%
2007/12/28,"15,413.37","15,413.37","15,240.96","15,307.78",-,-1.65%
2007/12/27,"15,616.41","15,628.31","15,535.51","15,564.69",-,-0.57%
2007/12/26,"15,613.96","15,653.54","15,559.47","15,653.54",-,0.65%
2007/12/25,"15,441.33","15,583.39","15,441.33","15,552.59",-,1.94%
2007/12/21,"15,044.35","15,275.61","14,998.01","15,257.00",-,1.50%
2007/12/20,"15,151.37","15,161.66","15,017.97","15,031.60",-,0.01%
2007/12/19,"15,165.09","15,267.75","15,030.51","15,030.51",-,-1.17%
2007/12/18,"15,099.20","15,301.69","15,004.41","15,207.86",-,-0.27%
2007/12/17,"15,433.30","15,508.50","15,219.07","15,249.79",-,-1.71%
2007/12/14,"15,547.19","15,697.05","15,433.77","15,514.51",-,-0.14%
2007/12/13,"15,818.48","15,833.10","15,532.53","15,536.52",-,-2.48%
2007/12/12,"15,828.65","15,963.43","15,700.15","15,932.26",-,-0.70%
2007/12/11,"16,003.09","16,075.61","15,972.45","16,044.72",-,0.76%
2007/12/10,"16,007.33","16,017.14","15,826.25","15,924.39",-,-0.20%
2007/12/07,"15,992.24","16,107.65","15,948.54","15,956.37",-,0.52%
2007/12/06,"15,782.40","15,898.26","15,740.94","15,874.08",-,1.70%
2007/12/05,"15,418.95","15,621.54","15,365.39","15,608.88",-,0.83%
2007/12/04,"15,613.89","15,683.18","15,446.47","15,480.19",-,-0.95%
2007/12/03,"15,747.47","15,799.69","15,577.69","15,628.97",-,-0.33%
2007/11/30,"15,520.53","15,751.20","15,520.53","15,680.67",-,1.08%
2007/11/29,"15,339.61","15,555.04","15,339.61","15,513.74",-,2.38%
2007/11/28,"15,271.14","15,280.91","15,089.35","15,153.78",-,-0.45%
2007/11/27,"14,953.93","15,312.55","14,801.87","15,222.85",-,0.58%
2007/11/26,"14,921.57","15,295.21","14,912.83","15,135.21",-,1.66%
2007/11/22,"14,726.62","15,000.18","14,669.85","14,888.77",-,0.34%
2007/11/21,"15,113.83","15,154.31","14,770.22","14,837.66",-,-2.46%
2007/11/20,"14,868.98","15,222.24","14,751.27","15,211.52",-,1.12%
2007/11/19,"15,177.17","15,302.76","15,040.10","15,042.56",-,-0.74%
2007/11/16,"15,238.73","15,238.73","15,030.02","15,154.61",-,-1.57%
2007/11/15,"15,536.35","15,587.31","15,396.30","15,396.30",-,-0.67%
2007/11/14,"15,311.38","15,504.99","15,287.26","15,499.56",-,2.47%
2007/11/13,"15,148.16","15,235.56","14,988.77","15,126.63",-,-0.46%
2007/11/12,"15,377.37","15,386.80","14,998.51","15,197.09",-,-2.48%
2007/11/09,"15,675.48","15,834.97","15,566.12","15,583.42",-,-1.19%
2007/11/08,"15,889.03","15,891.23","15,626.06","15,771.57",-,-2.02%
2007/11/07,"16,325.18","16,326.58","16,081.03","16,096.68",-,-0.94%
2007/11/06,"16,152.58","16,353.93","16,144.40","16,249.63",-,-0.12%
2007/11/05,"16,458.14","16,458.14","16,211.79","16,268.92",-,-1.50%
2007/11/02,"16,647.40","16,654.73","16,484.54","16,517.48",-,-2.09%
2007/11/01,"16,812.90","16,887.04","16,795.55","16,870.40",-,0.79%
2007/10/31,"16,620.59","16,738.98","16,552.54","16,737.63",-,0.52%
2007/10/30,"16,655.31","16,682.87","16,492.56","16,651.01",-,-0.28%
2007/10/29,"16,613.30","16,774.18","16,613.30","16,698.08",-,1.17%
2007/10/26,"16,358.61","16,505.63","16,348.86","16,505.63",-,1.36%
2007/10/25,"16,368.02","16,438.57","16,199.02","16,284.17",-,-0.45%
2007/10/24,"16,518.00","16,578.59","16,330.33","16,358.39",-,-0.56%
2007/10/23,"16,486.71","16,554.91","16,416.92","16,450.58",-,0.07%
2007/10/22,"16,563.57","16,563.57","16,264.70","16,438.47",-,-2.24%
2007/10/19,"16,965.00","16,965.00","16,711.57","16,814.37",-,-1.71%
2007/10/18,"16,974.69","17,147.73","16,974.69","17,106.09",-,0.89%
2007/10/17,"17,114.20","17,114.20","16,795.74","16,955.31",-,-1.07%
2007/10/16,"17,267.07","17,283.05","17,104.20","17,137.92",-,-1.27%
2007/10/15,"17,399.67","17,430.09","17,292.13","17,358.15",-,0.16%
2007/10/12,"17,417.94","17,441.75","17,280.60","17,331.17",-,-0.73%
2007/10/11,"17,188.81","17,488.97","17,154.75","17,458.98",-,1.64%
2007/10/10,"17,231.14","17,254.52","17,146.39","17,177.89",-,0.10%
2007/10/09,"17,166.17","17,237.40","17,133.52","17,159.90",-,0.56%
2007/10/05,"17,070.61","17,144.35","17,032.75","17,065.04",-,-0.16%
2007/10/04,"17,085.32","17,160.47","17,043.76","17,092.49",-,-0.62%
2007/10/03,"17,066.14","17,205.42","17,017.77","17,199.89",-,0.90%
2007/10/02,"17,027.92","17,072.67","16,986.38","17,046.78",-,1.19%
2007/10/01,"16,773.10","16,899.84","16,685.80","16,845.96",-,0.36%
2007/09/28,"16,903.64","16,929.26","16,755.21","16,785.69",-,-0.28%
2007/09/27,"16,551.94","16,868.94","16,551.94","16,832.22",-,2.41%
2007/09/26,"16,388.51","16,457.72","16,388.51","16,435.74",-,0.21%
2007/09/25,"16,317.19","16,434.80","16,240.26","16,401.73",-,0.55%
2007/09/21,"16,284.43","16,353.97","16,245.94","16,312.61",-,-0.62%
2007/09/20,"16,474.66","16,491.45","16,344.28","16,413.79",-,0.20%
2007/09/19,"16,038.12","16,386.17","16,038.12","16,381.54",-,3.67%
2007/09/18,"16,037.49","16,037.49","15,780.90","15,801.80",-,-2.02%
2007/09/14,"15,895.05","16,142.08","15,877.09","16,127.42",-,1.94%
2007/09/13,"15,886.76","15,931.09","15,802.36","15,821.19",-,0.15%
2007/09/12,"15,978.78","16,032.26","15,731.32","15,797.60",-,-0.50%
2007/09/11,"15,787.86","15,940.38","15,610.65","15,877.67",-,0.71%
2007/09/10,"15,906.52","15,906.52","15,651.83","15,764.97",-,-2.22%
2007/09/07,"16,179.78","16,230.58","16,027.93","16,122.16",-,-0.83%
2007/09/06,"16,003.88","16,257.00","15,840.05","16,257.00",-,0.61%
2007/09/05,"16,506.11","16,553.22","16,154.90","16,158.45",-,-1.60%
2007/09/04,"16,445.73","16,511.64","16,392.21","16,420.47",-,-0.63%
2007/09/03,"16,511.07","16,575.97","16,452.74","16,524.93",-,-0.27%
2007/08/31,"16,270.99","16,569.09","16,266.23","16,569.09",-,2.57%
2007/08/30,"16,182.09","16,269.66","16,091.28","16,153.82",-,0.88%
2007/08/29,"16,068.10","16,068.10","15,830.28","16,012.83",-,-1.69%
2007/08/28,"16,214.09","16,343.28","16,192.84","16,287.49",-,-0.09%
2007/08/27,"16,429.01","16,504.72","16,263.95","16,301.39",-,0.32%
2007/08/24,"16,286.01","16,329.96","16,188.08","16,248.97",-,-0.41%
2007/08/23,"16,093.82","16,333.36","16,093.82","16,316.32",-,2.61%
2007/08/22,"15,866.60","15,957.96","15,787.96","15,900.64",-,0.00%
2007/08/21,"15,773.86","16,101.64","15,754.51","15,901.34",-,1.07%
2007/08/20,"15,477.26","15,940.61","15,477.26","15,732.48",-,3.00%
2007/08/17,"16,035.38","16,062.59","15,262.10","15,273.68",-,-5.42%
2007/08/16,"16,296.40","16,296.40","15,859.46","16,148.49",-,-1.99%
2007/08/15,"16,659.07","16,667.36","16,433.30","16,475.61",-,-2.19%
2007/08/14,"16,824.63","16,855.05","16,747.94","16,844.61",-,0.27%
2007/08/13,"16,791.80","16,948.40","16,725.55","16,800.05",-,0.21%
2007/08/10,"16,923.21","16,948.96","16,651.71","16,764.09",-,-2.37%
2007/08/09,"17,170.36","17,274.33","17,148.95","17,170.60",-,0.83%
2007/08/08,"16,930.39","17,085.10","16,911.68","17,029.28",-,0.64%
2007/08/07,"17,009.63","17,049.45","16,863.46","16,921.77",-,0.04%
2007/08/06,"16,781.14","16,951.98","16,675.39","16,914.46",-,-0.39%
2007/08/03,"17,019.80","17,102.07","16,913.27","16,979.86",-,-0.03%
2007/08/02,"16,956.33","16,999.16","16,652.80","16,984.11",-,0.67%
2007/08/01,"17,169.20","17,169.20","16,845.54","16,870.98",-,-2.19%
2007/07/31,"17,318.01","17,318.01","17,195.29","17,248.89",-,-0.23%
2007/07/30,"17,138.53","17,289.30","17,042.66","17,289.30",-,0.03%
2007/07/27,"17,454.59","17,454.59","17,196.16","17,283.81",-,-2.36%
2007/07/26,"17,807.23","17,861.47","17,678.98","17,702.09",-,-0.88%
2007/07/25,"17,810.97","17,881.31","17,733.96","17,858.42",-,-0.80%
2007/07/24,"17,998.76","18,018.94","17,906.11","18,002.03",-,0.21%
2007/07/23,"17,995.71","18,009.47","17,892.75","17,963.64",-,-1.07%
2007/07/20,"18,148.60","18,223.04","18,124.74","18,157.93",-,0.23%
2007/07/19,"18,095.95","18,131.12","18,037.33","18,116.57",-,0.56%
2007/07/18,"18,136.06","18,136.06","17,964.28","18,015.58",-,-1.11%
2007/07/17,"18,269.36","18,269.36","18,167.82","18,217.27",-,-0.12%
2007/07/13,"18,161.02","18,268.64","18,150.99","18,238.95",-,1.42%
2007/07/12,"18,105.89","18,130.44","17,919.17","17,984.14",-,-0.36%
2007/07/11,"18,116.66","18,116.66","18,028.87","18,049.51",-,-1.11%
2007/07/10,"18,244.69","18,259.81","18,204.04","18,252.67",-,-0.05%
2007/07/09,"18,226.07","18,282.15","18,213.59","18,261.98",-,0.67%
2007/07/06,"18,184.64","18,184.64","18,086.01","18,140.94",-,-0.44%
2007/07/05,"18,191.89","18,295.27","18,191.89","18,221.48",-,0.29%
2007/07/04,"18,158.77","18,207.97","18,143.58","18,168.72",-,0.10%
2007/07/03,"18,206.49","18,230.89","18,146.74","18,149.90",-,0.02%
2007/07/02,"18,139.04","18,175.30","18,062.49","18,146.30",-,0.04%
2007/06/29,"18,010.50","18,144.63","17,973.50","18,138.36",-,1.15%
2007/06/28,"17,915.63","17,960.22","17,893.37","17,932.27",-,0.46%
2007/06/27,"17,981.77","17,983.35","17,848.05","17,849.28",-,-1.20%
2007/06/26,"18,098.33","18,101.89","18,008.60","18,066.11",-,-0.12%
2007/06/25,"18,107.68","18,203.56","18,079.85","18,087.48",-,-0.56%
2007/06/22,"18,177.89","18,200.11","18,092.36","18,188.63",-,-0.28%
2007/06/21,"18,117.30","18,287.73","18,107.81","18,240.30",-,0.16%
2007/06/20,"18,173.07","18,297.00","18,141.95","18,211.68",-,0.26%
2007/06/19,"18,131.59","18,163.61","18,103.56","18,163.61",-,0.08%
2007/06/18,"18,127.41","18,194.26","18,112.93","18,149.52",-,0.99%
2007/06/15,"17,945.84","18,007.99","17,930.34","17,971.49",-,0.72%
2007/06/14,"17,834.78","17,875.02","17,815.30","17,842.29",-,0.62%
2007/06/13,"17,631.87","17,781.41","17,591.93","17,732.77",-,-0.16%
2007/06/12,"17,845.22","17,862.99","17,735.56","17,760.91",-,-0.41%
2007/06/11,"17,899.02","17,932.10","17,801.63","17,834.48",-,0.31%
2007/06/08,"17,904.68","17,904.68","17,696.51","17,779.09",-,-1.52%
2007/06/07,"17,879.01","18,053.38","17,866.52","18,053.38",-,0.07%
2007/06/06,"18,001.20","18,073.05","17,991.19","18,040.93",-,-0.07%
2007/06/05,"18,019.79","18,071.72","17,950.45","18,053.81",-,0.45%
2007/06/04,"18,067.90","18,071.80","17,973.42","17,973.42",-,0.08%
2007/06/01,"17,949.92","18,017.73","17,943.68","17,958.88",-,0.47%
2007/05/31,"17,715.77","17,875.75","17,701.57","17,875.75",-,1.63%
2007/05/30,"17,664.37","17,727.17","17,484.30","17,588.26",-,-0.48%
2007/05/29,"17,524.82","17,700.52","17,521.64","17,672.56",-,0.48%
2007/05/28,"17,544.98","17,630.37","17,544.67","17,587.59",-,0.61%
2007/05/25,"17,529.27","17,529.27","17,370.18","17,481.21",-,-1.22%
2007/05/24,"17,680.45","17,760.57","17,606.56","17,696.97",-,-0.05%
2007/05/23,"17,763.15","17,802.71","17,699.12","17,705.12",-,0.14%
2007/05/22,"17,578.31","17,730.84","17,545.26","17,680.05",-,0.70%
2007/05/21,"17,455.55","17,599.35","17,411.51","17,556.87",-,0.90%
2007/05/18,"17,563.53","17,563.53","17,320.81","17,399.58",-,-0.57%
