付け,始値,高値,安値,終値,出来高,前比%
2010/12/30,"10,303.00","10,308.00","10,178.50","10,228.92",-,-1.12%
2010/12/29,"10,273.00","10,358.50","10,273.00","10,344.54",-,0.50%
2010/12/28,"10,311.00","10,326.50","10,283.00","10,292.63",-,-0.61%
2010/12/27,"10,293.00","10,383.50","10,293.00","10,355.99",-,0.75%
2010/12/24,"10,263.00","10,279.19","10,258.50","10,279.19",-,-0.65%
2010/12/22,"10,348.00","10,393.50","10,323.50","10,346.48",-,-0.23%
2010/12/21,"10,268.00","10,400.50","10,263.00","10,370.53",-,1.51%
2010/12/20,"10,288.00","10,293.50","10,178.50","10,216.41",-,-0.85%
2010/12/17,"10,313.00","10,328.50","10,283.50","10,303.83",-,-0.07%
2010/12/16,"10,303.00","10,353.50","10,288.50","10,311.29",-,0.01%
2010/12/15,"10,313.00","10,333.50","10,278.50","10,309.78",-,-0.07%
2010/12/14,"10,268.00","10,318.50","10,258.00","10,316.77",-,0.22%
2010/12/13,"10,203.00","10,293.89","10,195.50","10,293.89",-,0.80%
2010/12/10,"10,263.00","10,323.00","10,183.50","10,211.95",-,-0.72%
2010/12/09,"10,286.00","10,293.00","10,243.50","10,285.88",-,0.52%
2010/12/08,"10,203.00","10,263.50","10,183.50","10,232.33",-,0.90%
2010/12/07,"10,158.00","10,163.50","10,093.50","10,141.10",-,-0.26%
2010/12/06,"10,173.00","10,178.00","10,138.50","10,167.23",-,-0.11%
2010/12/03,"10,173.50","10,178.50","10,153.50","10,178.32",-,0.10%
2010/12/02,"10,178.00","10,193.00","10,143.50","10,168.52",-,1.81%
2010/12/01,"9,948.00","9,988.05","9,913.50","9,988.05",-,0.51%
2010/11/30,"10,068.00","10,103.50","9,937.04","9,937.04",-,-1.87%
2010/11/29,"10,078.00","10,148.50","10,038.50","10,125.99",-,0.86%
2010/11/26,"10,083.00","10,133.50","10,038.00","10,039.56",-,-0.40%
2010/11/25,"10,103.00","10,118.50","10,038.50","10,079.76",-,0.50%
2010/11/24,"9,923.00","10,063.50","9,898.50","10,030.11",-,-0.84%
2010/11/22,"10,143.00","10,158.50","10,088.50","10,115.19",-,0.93%
2010/11/19,"10,128.00","10,133.50","10,018.50","10,022.39",-,0.09%
2010/11/18,"9,823.00","10,013.63","9,803.50","10,013.63",-,2.06%
2010/11/17,"9,703.00","9,811.66","9,698.00","9,811.66",-,0.15%
2010/11/16,"9,898.00","9,908.00","9,793.50","9,797.10",-,-0.31%
2010/11/15,"9,803.00","9,833.50","9,743.50","9,827.51",-,1.06%
2010/11/12,"9,808.00","9,848.50","9,718.50","9,724.81",-,-1.39%
2010/11/11,"9,868.00","9,878.50","9,833.50","9,861.46",-,0.31%
2010/11/10,"9,748.00","9,838.50","9,743.00","9,830.52",-,1.40%
2010/11/09,"9,663.00","9,718.50","9,648.50","9,694.49",-,-0.39%
2010/11/08,"9,698.00","9,735.50","9,683.50","9,732.92",-,1.11%
2010/11/05,"9,523.00","9,683.50","9,518.00","9,625.99",-,2.86%
2010/11/04,"9,283.00","9,368.50","9,283.00","9,358.78",-,2.17%
2010/11/02,"9,133.00","9,163.50","9,123.50","9,159.98",-,0.06%
2010/11/01,"9,163.00","9,271.00","9,128.50","9,154.72",-,-0.52%
2010/10/29,"9,313.00","9,333.50","9,163.50","9,202.45",-,-1.75%
2010/10/28,"9,368.00","9,413.50","9,348.50","9,366.03",-,-0.22%
2010/10/27,"9,434.00","9,454.50","9,328.50","9,387.03",-,0.10%
2010/10/26,"9,389.00","9,459.50","9,364.50","9,377.38",-,-0.25%
2010/10/25,"9,439.00","9,459.50","9,389.50","9,401.16",-,-0.27%
2010/10/22,"9,409.00","9,454.50","9,389.00","9,426.71",-,0.54%
2010/10/21,"9,439.00","9,481.50","9,329.50","9,376.48",-,-0.05%
2010/10/20,"9,404.00","9,409.00","9,309.50","9,381.60",-,-1.65%
2010/10/19,"9,489.00","9,574.50","9,484.00","9,539.45",-,0.43%
2010/10/18,"9,519.00","9,559.50","9,469.50","9,498.49",-,-0.02%
2010/10/15,"9,544.00","9,554.50","9,474.50","9,500.25",-,-0.87%
2010/10/14,"9,509.00","9,614.50","9,479.50","9,583.51",-,1.91%
2010/10/13,"9,474.00","9,504.50","9,389.50","9,403.51",-,0.16%
2010/10/12,"9,642.00","9,644.00","9,384.00","9,388.64",-,-2.09%
2010/10/08,"9,644.00","9,674.50","9,588.88","9,588.88",-,-0.99%
2010/10/07,"9,649.00","9,719.50","9,649.00","9,684.81",-,-0.07%
2010/10/06,"9,594.00","9,694.50","9,569.50","9,691.43",-,1.81%
2010/10/05,"9,339.00","9,539.50","9,334.00","9,518.76",-,1.47%
2010/10/04,"9,404.00","9,514.50","9,359.50","9,381.06",-,-0.25%
2010/10/01,"9,454.00","9,474.50","9,354.50","9,404.23",-,0.37%
2010/09/30,"9,559.00","9,569.50","9,369.35","9,369.35",-,-1.99%
2010/09/29,"9,529.00","9,604.50","9,499.50","9,559.38",-,0.67%
2010/09/28,"9,514.00","9,549.50","9,469.50","9,495.76",-,-1.12%
2010/09/27,"9,556.00","9,613.50","9,538.00","9,603.14",-,1.39%
2010/09/24,"9,418.00","9,603.50","9,413.00","9,471.67",-,-0.99%
2010/09/22,"9,558.00","9,623.50","9,543.50","9,566.32",-,-0.37%
2010/09/21,"9,688.00","9,693.50","9,578.50","9,602.11",-,-0.25%
2010/09/17,"9,598.00","9,643.50","9,553.50","9,626.09",-,1.23%
2010/09/16,"9,628.00","9,628.00","9,478.50","9,509.50",-,-0.07%
2010/09/15,"9,243.00","9,578.50","9,193.50","9,516.56",-,2.34%
2010/09/14,"9,308.00","9,323.50","9,253.50","9,299.31",-,-0.24%
2010/09/13,"9,358.00","9,398.50","9,313.00","9,321.82",-,0.89%
2010/09/10,"9,153.00","9,293.50","9,133.00","9,239.17",-,1.55%
2010/09/09,"9,128.00","9,133.50","9,068.50","9,098.39",-,0.82%
2010/09/08,"9,087.00","9,102.50","8,997.50","9,024.60",-,-2.18%
2010/09/07,"9,217.00","9,312.50","9,207.50","9,226.00",-,-0.81%
2010/09/06,"9,204.00","9,307.50","9,174.50","9,301.32",-,2.05%
2010/09/03,"9,109.00","9,144.50","9,049.50","9,114.13",-,0.57%
2010/09/02,"9,084.00","9,094.00","8,959.50","9,062.84",-,1.52%
2010/09/01,"8,824.00","8,934.50","8,799.50","8,927.02",-,1.17%
2010/08/31,"8,999.00","9,009.50","8,819.50","8,824.06",-,-3.55%
2010/08/30,"9,174.00","9,284.50","9,119.50","9,149.26",-,1.76%
2010/08/27,"8,814.00","9,019.50","8,809.50","8,991.06",-,0.95%
2010/08/26,"8,889.00","8,906.48","8,829.50","8,906.48",-,0.69%
2010/08/25,"8,894.00","8,944.50","8,799.50","8,845.39",-,-1.66%
2010/08/24,"9,019.00","9,069.50","8,979.50","8,995.14",-,-1.33%
2010/08/23,"9,129.00","9,169.50","9,084.50","9,116.69",-,-0.68%
2010/08/20,"9,209.00","9,284.50","9,164.00","9,179.38",-,-1.96%
2010/08/19,"9,238.00","9,369.00","9,233.00","9,362.68",-,1.32%
2010/08/18,"9,252.00","9,278.50","9,149.50","9,240.54",-,0.86%
2010/08/17,"9,084.00","9,189.50","9,079.00","9,161.68",-,-0.38%
2010/08/16,"9,124.00","9,209.50","9,089.50","9,196.67",-,-0.61%
2010/08/13,"9,204.00","9,274.50","9,154.50","9,253.46",-,0.44%
2010/08/12,"9,114.00","9,212.59","9,054.50","9,212.59",-,-0.86%
2010/08/11,"9,429.00","9,444.50","9,279.50","9,292.85",-,-2.70%
2010/08/10,"9,619.00","9,664.50","9,504.50","9,551.05",-,-0.22%
2010/08/09,"9,514.00","9,572.49","9,509.00","9,572.49",-,-0.72%
2010/08/06,"9,549.00","9,654.50","9,539.00","9,642.12",-,-0.12%
2010/08/05,"9,664.00","9,684.50","9,574.50","9,653.92",-,1.73%
2010/08/04,"9,604.00","9,604.00","9,474.50","9,489.34",-,-2.11%
2010/08/03,"9,729.00","9,749.50","9,629.50","9,694.01",-,1.29%
2010/08/02,"9,579.00","9,679.50","9,544.50","9,570.31",-,0.35%
2010/07/30,"9,654.00","9,654.00","9,499.50","9,537.30",-,0.43%
2010/07/27,"9,508.00","9,538.50","9,478.50","9,496.85",-,-0.07%
2010/07/26,"9,533.00","9,558.00","9,488.00","9,503.66",-,0.77%
2010/07/23,"9,433.00","9,473.50","9,363.50","9,430.96",-,2.28%
2010/07/22,"9,222.00","9,253.50","9,173.50","9,220.88",-,-0.62%
2010/07/21,"9,397.00","9,397.00","9,222.50","9,278.83",-,-0.23%
2010/07/20,"9,245.00","9,377.50","9,242.00","9,300.46",-,-1.15%
2010/07/16,"9,600.88","9,636.84","9,392.21","9,408.36",-,-2.86%
2010/07/15,"9,701.14","9,726.94","9,667.00","9,685.53",-,-1.12%
2010/07/14,"9,707.50","9,807.36","9,693.33","9,795.24",-,2.71%
2010/07/13,"9,592.87","9,629.98","9,502.24","9,537.23",-,-0.11%
2010/07/12,"9,540.47","9,632.89","9,533.56","9,548.11",-,-0.39%
2010/07/09,"9,601.62","9,610.59","9,516.97","9,585.32",-,0.52%
2010/07/08,"9,462.82","9,545.99","9,456.19","9,535.74",-,2.76%
2010/07/07,"9,322.56","9,329.64","9,223.80","9,279.65",-,-0.63%
2010/07/06,"9,158.28","9,351.11","9,091.70","9,338.04",-,0.77%
2010/07/05,"9,230.00","9,282.90","9,213.79","9,266.78",-,0.69%
2010/07/02,"9,234.56","9,259.14","9,160.47","9,203.71",-,0.13%
2010/07/01,"9,296.86","9,297.45","9,147.68","9,191.60",-,-2.04%
2010/06/30,"9,396.45","9,420.14","9,347.07","9,382.64",-,-1.96%
2010/06/29,"9,718.40","9,760.02","9,548.98","9,570.67",-,-1.27%
2010/06/28,"9,758.91","9,762.23","9,679.17","9,693.94",-,-0.45%
2010/06/25,"9,778.70","9,794.98","9,697.87","9,737.48",-,-1.92%
2010/06/24,"9,902.62","10,009.37","9,893.75","9,928.34",-,0.05%
