"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA"
"2012/12/28","10,406.36","10,433.63","10,374.85","10,395.18","+72.20","10,193.74","9,712.29","9,177.26"
"2012/12/27","10,295.26","10,376.39","10,288.85","10,322.98","+92.62","10,122.57","9,665.39","9,156.92"
"2012/12/26","10,131.22","10,230.36","10,107.34","10,230.36","+150.24","10,090.05","9,618.17","9,137.57"
"2012/12/25","10,092.35","10,119.35","10,030.44","10,080.12","+140.06","10,028.58","9,575.09","9,116.90"
"2012/12/21","10,145.58","10,175.06","9,924.42","9,940.06","-99.27","9,978.33","9,532.85","9,098.23"
"2012/12/20","10,093.11","10,147.68","10,028.65","10,039.33","-121.07","9,937.83","9,488.43","9,082.71"
"2012/12/19","10,025.40","10,160.40","10,016.98","10,160.40","+237.39","9,878.51","9,433.45","9,065.97"
"2012/12/18","9,848.87","9,967.24","9,848.87","9,923.01","+94.13","9,762.72","9,373.48","9,048.36"
"2012/12/17","9,895.68","9,903.35","9,826.30","9,828.88","+91.32","9,683.19","9,323.61","9,035.84"
"2012/12/14","9,703.56","9,775.75","9,687.70","9,737.56","-5.17","9,624.16","9,280.76","9,025.72"
"2012/12/13","9,681.20","9,767.05","9,672.47","9,742.73","+161.27","9,582.13","9,244.75","9,016.33"
"2012/12/12","9,606.25","9,606.25","9,565.95","9,581.46","+56.14","9,542.61","9,213.95","9,007.56"
"2012/12/11","9,510.60","9,534.18","9,487.95","9,525.32","-8.43","9,520.09","9,189.70","9,000.75"
"2012/12/10","9,584.46","9,584.46","9,517.40","9,533.75","+6.36","9,501.52","9,168.99","8,996.12"
"2012/12/07","9,547.14","9,572.75","9,522.13","9,527.39","-17.77","9,486.40","9,149.68","8,990.76"
"2012/12/06","9,535.69","9,565.43","9,503.31","9,545.16","+76.32","9,470.13","9,126.46","8,985.82"
"2012/12/05","9,380.37","9,515.86","9,376.97","9,468.84","+36.38","9,441.27","9,101.79","8,980.84"
"2012/12/04","9,419.15","9,457.19","9,406.03","9,432.46","-25.72","9,409.17","9,076.71","8,976.75"
"2012/12/03","9,484.20","9,525.82","9,453.48","9,458.18","+12.17","9,407.34","9,056.59","8,972.22"
"2012/11/30","9,446.77","9,492.91","9,380.25","9,446.01","+45.13","9,393.49","9,035.58","8,965.11"
"2012/11/29","9,370.29","9,412.08","9,350.40","9,400.88","+92.53","9,377.65","9,019.95","8,958.23"
"2012/11/28","9,375.48","9,407.62","9,308.35","9,308.35","-114.95","9,341.98","9,002.09","8,951.36"
"2012/11/27","9,371.13","9,449.72","9,370.59","9,423.30","+34.36","9,308.84","8,990.32","8,945.80"
"2012/11/26","9,466.06","9,487.94","9,388.94","9,388.94","+22.14","9,254.82","8,973.82","8,939.87"
"2012/11/22","9,336.32","9,366.80","9,304.72","9,366.80","+144.28","9,181.86","8,958.37","8,933.10"
"2012/11/21","9,213.73","9,248.98","9,161.21","9,222.52","+79.88","9,074.44","8,943.01","8,925.58"
"2012/11/20","9,198.42","9,200.85","9,129.43","9,142.64","-10.56","8,962.89","8,926.37","8,918.97"
"2012/11/19","9,141.27","9,183.46","9,135.29","9,153.20","+129.04","8,866.57","8,908.72","8,911.13"
"2012/11/16","8,898.33","9,032.35","8,898.33","9,024.16","+194.44","8,771.22","8,885.71","8,904.47"
"2012/11/15","8,703.82","8,829.72","8,684.23","8,829.72","+164.99","8,717.90","8,866.11","8,899.37"
"2012/11/14","8,660.27","8,680.40","8,653.49","8,664.73","+3.68","8,719.39","8,854.79","8,897.57"
"2012/11/13","8,710.52","8,723.46","8,619.45","8,661.05","-15.39","8,781.02","8,852.05","8,897.18"
"2012/11/12","8,701.28","8,728.85","8,676.44","8,676.44","-81.16","8,843.84","8,856.39","8,895.93"
"2012/11/09","8,742.68","8,779.24","8,729.45","8,757.60","-79.55","8,910.04","8,863.87","8,892.81"
"2012/11/08","8,868.42","8,891.08","8,811.41","8,837.15","-135.74","8,968.77","8,866.55","8,887.59"
"2012/11/07","9,030.56","9,032.32","8,924.41","8,972.89","-2.26","8,990.71","8,862.94","8,882.94"
"2012/11/06","8,989.58","8,990.35","8,957.49","8,975.15","-32.29","8,981.79","8,855.46","8,876.74"
"2012/11/05","9,000.81","9,040.18","8,984.69","9,007.44","-43.78","8,955.16","8,848.32","8,872.67"
"2012/11/02","9,049.22","9,072.39","9,031.43","9,051.22","+104.35","8,939.54","8,842.83","8,869.85"
"2012/11/01","8,931.71","8,976.08","8,871.48","8,946.87","+18.58","8,915.90","8,838.77","8,865.52"
"2012/10/31","8,911.08","8,985.58","8,905.44","8,928.29","+86.31","8,937.57","8,837.16","8,862.96"
"2012/10/30","8,941.82","8,995.81","8,841.98","8,841.98","-87.36","8,942.77","8,843.69","8,860.24"
