"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/09/10","2,980.0","3,100.0","2,909.0","3,095.0","+195.0","1,659,500","269,300","19,200","0.07","0.10","2,836.00","2,493.08","2,429.30","1,179,460","993,980","1,089,380"
"2021/09/09","2,800.0","2,936.0","2,799.0","2,900.0","+60.0","1,059,400","128,000","32,300","0.25","0.05","2,746.00","2,459.20","2,419.20","994,760","1,035,096","1,075,610"
"2021/09/08","2,720.0","2,855.0","2,720.0","2,840.0","+111.0","1,168,900","78,700","37,800","0.48","-","2,698.00","2,438.84","2,412.36","1,008,560","1,034,432","1,069,524"
"2021/09/07","2,631.0","2,745.0","2,625.0","2,729.0","+113.0","987,300","41,800","44,300","1.06","-","2,643.60","2,423.76","2,405.92","921,500","1,024,284","1,061,880"
"2021/09/06","2,684.0","2,684.0","2,532.0","2,616.0","-29.0","1,022,200","10,800","61,200","5.67","-","2,591.80","2,413.00","2,400.66","854,820","1,035,068","1,054,548"
"2021/09/03","2,666.0","2,688.0","2,613.0","2,645.0","-15.0","736,000","16,600","72,000","4.34","-","2,554.60","2,410.28","2,396.44","710,480","1,047,396","1,047,765"
"2021/09/02","2,580.0","2,666.0","2,571.0","2,660.0","+92.0","1,128,400","15,000","74,100","4.94","-","2,506.20","2,408.00","2,391.57","637,620","1,131,428","1,045,265"
"2021/09/01","2,470.0","2,568.0","2,465.0","2,568.0","+98.0","733,600","12,300","86,600","7.04","-","2,444.60","2,406.56","2,387.22","465,400","1,153,244","1,035,457"
"2021/08/31","2,447.0","2,512.0","2,440.0","2,470.0","+40.0","653,900","10,900","87,500","8.03","-","2,400.00","2,410.92","2,384.53","419,780","1,215,252","1,031,158"
"2021/08/30","2,403.0","2,430.0","2,379.0","2,430.0","+27.0","300,500","9,800","94,800","9.67","-","2,383.20","2,418.64","2,382.85","372,100","1,401,196","1,027,484"
"2021/08/27","2,345.0","2,407.0","2,340.0","2,403.0","+51.0","371,700","8,400","95,500","11.37","-","2,374.60","2,431.68","2,382.18","403,400","1,731,420","1,030,249"
"2021/08/26","2,387.0","2,387.0","2,344.0","2,352.0","+7.0","267,300","8,200","97,500","11.89","-","2,360.60","2,458.36","2,382.68","427,840","1,777,728","1,030,973"
"2021/08/25","2,401.0","2,418.0","2,328.0","2,345.0","-41.0","505,500","9,200","94,700","10.29","-","2,358.80","2,492.88","2,384.34","486,020","1,817,652","1,032,566"
"2021/08/24","2,404.0","2,421.0","2,366.0","2,386.0","-1.0","415,500","9,200","90,000","9.78","-","2,361.20","2,525.68","2,386.32","549,300","1,870,708","1,029,560"
"2021/08/23","2,333.0","2,401.0","2,333.0","2,387.0","+54.0","457,000","9,200","94,400","10.26","-","2,352.20","2,554.64","2,387.70","634,920","1,950,260","1,030,913"
"2021/08/20","2,333.0","2,373.0","2,301.0","2,333.0","-10.0","493,900","6,200","104,400","16.84","-","2,348.80","2,578.68","2,389.64","839,060","2,133,188","1,030,754"
"2021/08/19","2,335.0","2,405.0","2,335.0","2,343.0","-14.0","558,200","8,300","157,000","18.92","-","2,383.80","2,595.28","2,392.86","1,232,320","2,253,812","1,033,650"
"2021/08/18","2,295.0","2,383.0","2,290.0","2,357.0","+16.0","821,900","12,000","175,900","14.66","-","2,395.00","2,595.00","2,396.65","1,408,860","2,249,296","1,034,906"
"2021/08/17","2,369.0","2,395.0","2,325.0","2,341.0","-29.0","843,600","10,100","186,900","18.50","-","2,388.40","2,591.64","2,399.01","1,507,020","2,226,844","1,030,986"
"2021/08/16","2,440.0","2,453.0","2,350.0","2,370.0","-138.0","1,477,700","9,800","191,100","19.50","-","2,372.00","2,589.40","2,400.88","1,703,700","2,200,096","1,024,928"
"2021/08/13","2,412.0","2,530.0","2,396.0","2,508.0","+109.0","2,460,200","19,100","235,400","12.32","-","2,351.40","2,585.40","2,401.77","1,837,500","2,146,852","1,008,400"
"2021/08/12","2,318.0","2,410.0","2,314.0","2,399.0","+75.0","1,440,900","21,700","193,000","8.89","-","2,299.40","2,577.40","2,400.58","1,882,940","2,054,596","979,284"
"2021/08/11","2,288.0","2,345.0","2,265.0","2,324.0","+65.0","1,312,700","24,200","159,200","6.58","-","2,297.80","2,573.84","2,400.84","1,803,320","2,005,412","963,750"
"2021/08/10","2,287.0","2,358.0","2,251.0","2,259.0","-8.0","1,827,000","12,400","139,300","11.23","-","2,325.60","2,572.24","2,402.00","1,723,820","1,962,768","951,918"
"2021/08/06","2,260.0","2,313.0","2,208.0","2,267.0","+19.0","2,146,700","74,500","123,300","1.66","-","2,365.80","2,571.08","2,404.40","1,609,800","1,898,344","932,508"
"2021/08/05","2,347.0","2,375.0","2,246.0","2,248.0","-143.0","2,687,400","45,700","117,700","2.58","-","2,422.00","2,572.20","2,406.01","1,446,540","1,820,040","909,413"
"2021/08/04","2,469.0","2,484.0","2,367.0","2,391.0","-72.0","1,042,800","31,200","106,600","3.42","-","2,490.00","2,573.76","2,407.77","1,476,420","1,720,236","886,558"
"2021/08/03","2,425.0","2,486.0","2,420.0","2,463.0","+3.0","915,200","40,400","96,700","2.39","-","2,536.60","2,570.72","2,408.38","1,602,620","1,685,712","893,850"
"2021/08/02","2,542.0","2,551.0","2,443.0","2,460.0","-88.0","1,256,900","40,000","100,100","2.50","-","2,579.40","2,565.80","2,404.78","1,876,340","1,659,196","886,017"
"2021/07/30","2,573.0","2,635.0","2,541.0","2,548.0","-40.0","1,330,400","37,300","115,600","3.10","-","2,620.00","2,561.84","2,401.97","2,685,460","1,622,476","872,138"
"2021/07/29","2,553.0","2,599.0","2,492.0","2,588.0","-36.0","2,836,800","52,200","107,400","2.06","-","2,661.60","2,553.36","2,398.13","4,130,600","1,581,364","859,337"
"2021/07/28","2,633.0","2,717.0","2,606.0","2,624.0","-53.0","1,673,800","46,900","96,500","2.06","-","2,758.00","2,542.56","2,394.30","3,869,120","1,484,300","825,306"
"2021/07/27","2,689.0","2,724.0","2,629.0","2,677.0","+14.0","2,283,800","60,300","125,300","2.08","-","2,876.20","2,526.52","2,390.17","3,787,440","1,430,520","807,090"
"2021/07/26","2,747.0","2,749.0","2,583.0","2,663.0","-93.0","5,302,500","66,000","149,700","2.27","-","2,973.80","2,508.64","2,385.18","3,697,060","1,350,424","781,005"
"2021/07/21","2,982.0","3,015.0","2,708.0","2,756.0","-314.0","8,556,100","359,000","62,000","0.17","0.05","3,063.20","2,493.88","2,379.85","3,117,420","1,156,724","714,161"
"2021/07/20","3,185.0","3,230.0","3,000.0","3,070.0","-145.0","1,529,400","1,155,400","1,600","0.00","0.10","3,109.60","2,476.04","2,372.46","2,412,240","842,508","603,068"
"2021/07/19","3,160.0","3,245.0","3,125.0","3,215.0","+50.0","1,265,400","1,426,000","1,600","0.00","0.10","3,045.20","2,443.72","2,360.78","2,808,260","818,244","585,553"
"2021/07/16","3,095.0","3,185.0","3,030.0","3,165.0","+55.0","1,831,900","1,266,000","1,600","0.00","0.10","2,869.40","2,401.08","2,346.93","2,644,240","789,912","570,628"
"2021/07/15","2,926.0","3,110.0","2,914.0","3,110.0","+122.0","2,404,300","1,133,600","25,400","0.02","0.10","2,691.00","2,357.72","2,333.29","2,329,980","724,216","548,362"
"2021/07/14","2,811.0","3,025.0","2,773.0","2,988.0","+240.0","5,030,200","876,700","24,300","0.03","0.10","2,526.00","2,317.12","2,320.42","1,884,100","641,348","518,508"
"2021/07/13","2,412.0","2,757.0","2,412.0","2,748.0","+412.0","3,509,500","393,600","2,400","0.01","0.05","2,382.40","2,281.76","2,308.64","907,380","448,724","452,737"
"2021/07/12","2,344.0","2,363.0","2,302.0","2,336.0","+63.0","445,300","63,800","28,200","0.44","-","2,294.40","2,256.92","2,299.64","236,240","321,696","408,658"
"2021/07/09","2,263.0","2,276.0","2,235.0","2,273.0","-12.0","260,600","48,300","53,600","1.11","-","2,289.20","2,249.64","2,297.10","189,440","311,068","404,625"
"2021/07/08","2,285.0","2,296.0","2,260.0","2,285.0","+15.0","174,900","54,200","44,000","0.81","-","2,291.40","2,245.72","2,295.76","186,640","306,960","402,358"
"2021/07/07","2,289.0","2,300.0","2,260.0","2,270.0","-38.0","146,600","57,200","44,500","0.78","-","2,280.40","2,241.56","2,294.25","194,940","311,148","401,704"
"2021/07/06","2,312.0","2,328.0","2,287.0","2,308.0","-2.0","153,800","63,400","28,800","0.45","-","2,285.40","2,237.72","2,292.57","203,440","320,880","403,450"
"2021/07/05","2,285.0","2,329.0","2,273.0","2,310.0","+26.0","211,300","67,500","27,200","0.40","-","2,281.20","2,232.84","2,290.58","211,140","337,472","405,109"
"2021/07/02","2,237.0","2,294.0","2,221.0","2,284.0","+54.0","246,600","69,800","31,700","0.45","-","2,282.20","2,224.60","2,288.00","204,820","353,260","405,417"
"2021/07/01","2,285.0","2,285.0","2,229.0","2,230.0","-65.0","216,400","59,500","33,600","0.56","-","2,293.40","2,220.76","2,284.92","205,960","393,336","405,132"
"2021/06/30","2,300.0","2,310.0","2,267.0","2,295.0","+8.0","189,100","68,500","35,700","0.52","-","2,319.60","2,222.20","2,282.08","230,460","433,052","403,516"
"2021/06/29","2,310.0","2,330.0","2,282.0","2,287.0","-28.0","192,300","69,100","29,900","0.43","0.05","2,327.80","2,222.64","2,278.22","253,160","454,120","403,098"
"2021/06/28","2,352.0","2,365.0","2,301.0","2,315.0","-25.0","179,700","68,300","26,100","0.38","0.05","2,334.00","2,224.64","2,274.36","296,740","471,500","402,864"
