"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2021/09/10","578.0","582.0","572.0","580.0","-1.0","44,200","0","28,900","0.00","-","574.40","584.76","641.80","64,320","146,632","90,296"
"2021/09/09","573.0","588.0","573.0","581.0","+6.0","68,400","0","28,900","0.00","-","570.40","584.84","644.08","69,680","147,116","90,732"
"2021/09/08","566.0","577.0","564.0","575.0","+9.0","93,200","0","27,900","0.00","-","565.80","585.48","646.26","75,740","146,536","90,402"
"2021/09/07","572.0","575.0","566.0","566.0","-4.0","73,200","0","24,500","0.00","-","565.40","587.04","648.48","76,120","144,352","90,377"
"2021/09/06","567.0","572.0","560.0","570.0","+10.0","42,600","0","24,400","0.00","-","567.60","589.24","650.98","81,760","142,640","91,062"
"2021/09/03","560.0","565.0","552.0","560.0","+2.0","71,000","0","24,400","0.00","-","571.80","590.80","653.09","96,020","143,416","91,136"
"2021/09/02","569.0","575.0","557.0","558.0","-15.0","98,700","0","25,800","0.00","-","577.00","593.32","655.46","99,440","142,008","91,000"
"2021/09/01","577.0","578.0","566.0","573.0","-4.0","95,100","0","24,300","0.00","-","582.40","595.48","657.62","103,280","139,580","90,898"
"2021/08/31","585.0","587.0","572.0","577.0","-14.0","101,400","0","25,900","0.00","-","581.00","597.40","659.98","121,300","136,960","90,706"
"2021/08/30","583.0","595.0","577.0","591.0","+5.0","113,900","0","25,100","0.00","-","574.20","599.16","662.17","141,460","133,880","91,242"
"2021/08/27","580.0","595.0","571.0","586.0","+1.0","88,100","0","23,900","0.00","-","563.60","600.44","664.44","183,500","131,836","92,248"
"2021/08/26","576.0","588.0","567.0","585.0","+19.0","117,900","0","23,900","0.00","-","559.00","601.16","667.09","327,060","131,336","95,524"
"2021/08/25","553.0","575.0","549.0","566.0","+23.0","185,200","0","33,600","0.00","-","574.40","602.64","670.52","429,260","128,260","95,785"
"2021/08/24","536.0","548.0","529.0","543.0","+5.0","202,200","0","37,200","0.00","-","582.20","605.56","674.37","422,580","121,720","94,274"
"2021/08/23","563.0","563.0","524.0","538.0","-25.0","324,100","0","39,100","0.00","-","592.00","609.24","678.37","398,280","115,088","92,165"
"2021/08/20","572.0","600.0","562.0","563.0","-99.0","805,900","0","34,700","0.00","-","604.40","613.56","682.33","353,380","103,364","88,606"
"2021/08/19","615.0","662.0","610.0","662.0","+57.0","628,900","0","24,400","0.00","-","614.80","616.84","685.90","197,600","72,904","79,252"
"2021/08/18","590.0","608.0","583.0","605.0","+13.0","151,800","0","27,300","0.00","-","606.40","615.96","688.50","81,780","49,856","72,078"
