"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA"
"2019/12/30","23,770.93","23,782.49","23,656.62","23,656.62","-181.10","23,806.54","23,615.28","22,842.69"
"2019/12/27","23,953.75","23,967.18","23,837.72","23,837.72","-87.20","23,839.44","23,600.72","22,811.51"
"2019/12/26","23,787.70","23,931.51","23,775.40","23,924.92","+142.05","23,835.22","23,571.73","22,776.34"
"2019/12/25","23,813.59","23,824.85","23,782.87","23,782.87","-47.71","23,823.20","23,536.28","22,738.48"
"2019/12/24","23,839.18","23,853.56","23,796.35","23,830.58","+9.47","23,853.52","23,510.90","22,696.70"
"2019/12/23","23,921.29","23,923.09","23,810.82","23,821.11","+4.48","23,900.62","23,489.39","22,653.96"
"2019/12/20","23,893.45","23,908.77","23,746.63","23,816.63","-48.22","23,926.87","23,473.21","22,611.28"
"2019/12/19","23,911.46","23,945.53","23,835.29","23,864.85","-69.58","23,968.17","23,452.68","22,569.79"
"2019/12/18","24,023.27","24,046.09","23,919.36","23,934.43","-131.69","23,880.16","23,423.75","22,524.40"
"2019/12/17","24,091.12","24,091.12","23,996.51","24,066.12","+113.77","23,771.64","23,399.17","22,478.33"
"2019/12/16","23,955.20","24,036.30","23,950.05","23,952.35","-70.75","23,640.46","23,377.32","22,430.20"
"2019/12/13","23,810.56","24,050.04","23,775.73","24,023.10","+598.29","23,536.13","23,352.50","22,380.98"
"2019/12/12","23,449.28","23,468.15","23,360.43","23,424.81","+32.95","23,402.39","23,327.25","22,336.82"
"2019/12/11","23,421.14","23,438.43","23,333.63","23,391.86","-18.33","23,377.44","23,323.47","22,299.53"
"2019/12/10","23,372.39","23,449.47","23,336.93","23,410.19","-20.51","23,326.12","23,319.95","22,262.55"
"2019/12/09","23,544.31","23,544.31","23,360.01","23,430.70","+76.30","23,320.04","23,313.62","22,226.11"
"2019/12/06","23,347.67","23,412.48","23,338.40","23,354.40","+54.31","23,339.80","23,290.43","22,187.88"
"2019/12/05","23,292.70","23,363.44","23,259.82","23,300.09","+164.86","23,327.70","23,273.33","22,148.74"
"2019/12/04","23,186.74","23,203.77","23,044.78","23,135.23","-244.58","23,349.51","23,255.05","22,110.14"
"2019/12/03","23,231.14","23,388.18","23,186.84","23,379.81","-149.69","23,410.02","23,248.61","22,077.08"
"2019/12/02","23,388.63","23,562.05","23,378.40","23,529.50","+235.59","23,408.72","23,228.11","22,038.08"
"2019/11/29","23,497.44","23,498.77","23,273.37","23,293.91","-115.23","23,361.39","23,198.92","22,000.16"
"2019/11/28","23,458.88","23,482.32","23,367.33","23,409.14","-28.63","23,325.18","23,177.19","21,964.15"
"2019/11/27","23,452.85","23,507.82","23,418.23","23,437.77","+64.45","23,251.07","23,145.84","21,925.58"
