date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2021/01/07,8750,l,1.9716206123973112,1.9716206123973112,2.852875280059746,4.02611691999552,7,11,0,0,0,0.010515990203999582
2021/01/15,8750,l,-0.9999999999999973,-0.9999999999999973,1.12490869247626,0.7690994460959623,5,1,4,0,0,0.002760097650519675
2021/01/28,8750,s,-0.9999999999999976,-0.9999999999999976,1.5498652291105122,2.5040009792246507,4,18,3,0,0,-0.016271576146988227
2021/02/05,8750,l,1.299545159194282,1.299545159194282,1.01364522417154,1.1638619874069103,5,8,0,0,0,0.010214893470632699
2021/02/15,8750,l,0.18761726078799248,0.18761726078799248,1.6260162601626016,1.479301952733019,4,0,3,0,1,0.004821804284339439
2021/02/17,8750,l,-0.999999999999999,-0.999999999999999,1.4560770156438028,1.258652033771651,2,0,1,0,0,-0.0033126830829319624
2021/02/22,8750,l,-0.5054566341183229,-0.5054566341183229,0.8960367604824814,0.7590682803131176,1,4,0,0,1,0.008790082723919599
2021/02/25,8750,l,-0.999999999999999,-0.999999999999999,1.1607142857142858,0.5815566129909637,5,2,2,0,1,0.013668579825220654
2021/03/08,8750,l,0.19978969505783387,0.19978969505783387,0.8412197686645637,1.2849163329502575,7,5,1,0,1,0.011913324131661476
2021/03/09,8750,l,-0.9999999999999981,-0.9999999999999981,0.8209338122113904,0.861400755594304,8,2,0,0,1,0.0001955241665434139
2021/03/30,8750,s,0.23991275899672845,0.23991275899672845,1.2322791712104688,0.9273242538177132,6,52,1,0,0,-0.0006629340891054052
2021/04/01,8750,l,-0.999999999999998,-0.999999999999998,4.824561403508771,3.8279920488509447,20,0,19,0,1,0.009017163145845634
2021/04/21,8750,s,-0.12987012987012989,-0.12987012987012989,1.098901098901099,0.9158481550305283,4,40,0,0,0,-0.015120764746027386
2021/05/06,8750,l,1.0482430017867779,1.0482430017867779,0.9529481834425253,1.3854404027933374,3,15,1,0,1,0.007336366031146666
2021/05/17,8750,l,-1.0000000000000022,-1.0000000000000022,1.048141377209019,1.3898257253604323,5,4,1,0,1,0.008046795969444962
2021/05/28,8750,l,-0.5811623246492986,-0.5811623246492986,0.9218436873747495,1.180837805815917,5,0,3,0,0,0.012733541373238599
2021/06/18,8750,s,3.2192648922686944,3.2192648922686944,2.5348542458808616,1.7391658536876133,15,39,7,0,1,0.004080524275518262
2021/06/21,8750,s,-0.06172839506172839,-0.06172839506172839,1.617283950617284,1.5647824978209817,1,34,0,0,0,-0.01578644997527978
2021/06/22,8750,l,-1.0000000000000022,-1.0000000000000022,1.2338062924120914,1.0705068782676406,1,32,0,0,1,0.0179265736624953
2021/06/28,8750,l,-2.0968812209688124,-2.0968812209688124,1.1546118115461181,0.741093558784063,4,30,0,0,0,0.001599109342885772
2021/06/29,8750,s,-0.9999999999999989,-0.9999999999999989,1.36332651670075,2.5842073950922146,5,18,1,0,0,-0.004151057455895505
2021/07/07,8750,s,1.3639526791927628,1.3639526791927628,1.6840640222686154,1.2398824026711122,9,9,1,0,1,-0.013294948436295992
2021/07/12,8750,l,-0.9999999999999989,-0.9999999999999989,2.166553825321598,0.6904020978372544,3,50,2,0,0,0.01690311026104842
2021/07/20,8750,s,-1.2759856630824373,-1.2759856630824373,1.146953405017921,0.889396741098912,4,4,0,0,0,-0.010882827524505792
2021/07/21,8750,l,0.32647267565649396,0.32647267565649396,1.1355571327182399,0.6196941932426756,2,53,0,0,0,0.013104202691966218
2021/07/26,8750,l,0.42372881355932207,0.42372881355932207,1.4124293785310735,0.8139410978778514,5,50,2,0,1,0.01606178306955137
2021/08/10,8750,l,-1.0000000000000053,-1.0000000000000053,2.1773612112472964,1.286969488116447,1,23,0,0,0,0.0024079764083731713
2021/01/07,8591,l,3.0901960784313727,3.0901960784313727,2.0549019607843135,4.514631211970957,1,0,0,0,0,0.010515990203999582
2021/01/28,8591,s,-1.0000000000000022,-1.0000000000000022,1.2252475247524752,1.0718570286337497,1,46,0,0,0,-0.016271576146988227
2021/02/25,8591,l,-0.9999999999999991,-0.9999999999999991,1.0414452709883104,1.5132353277047346,6,4,1,0,1,0.013668579825220654
2021/04/21,8591,s,0.2888583218707015,0.2888583218707015,1.1004126547455295,1.125439996875473,1,10,0,0,0,-0.015120764746027386
2021/05/06,8591,l,-0.9999999999999984,-0.9999999999999984,1.8801996672212977,1.3062364591337232,5,44,1,0,1,0.007336366031146666
2021/05/14,8591,l,0.2576489533011272,0.2576489533011272,1.8196457326892108,2.454896190045288,7,41,0,0,0,0.010044079698309727
2021/06/18,8591,s,1.393841166936791,1.393841166936791,1.2965964343598055,1.1780884199021489,7,41,4,0,1,0.004080524275518262
2021/06/21,8591,s,-1.9246190858059342,-1.9246190858059342,1.3953488372093024,0.8806574239961531,6,31,0,0,0,-0.01578644997527978
2021/06/22,8591,l,0.27397260273972607,0.27397260273972607,1.7727639000805802,0.8283510768341742,3,23,0,0,0,0.0179265736624953
2021/06/29,8591,s,0.4329004329004329,0.4329004329004329,1.3852813852813852,2.3810478875898116,7,36,4,0,0,-0.004151057455895505
2021/07/07,8591,s,0.8993157380254154,0.8993157380254154,1.5640273704789833,1.1442172173135376,7,28,4,0,1,-0.013294948436295992
2021/07/12,8591,l,1.2570356472795499,1.2570356472795499,1.4821763602251408,1.1012026635437233,9,28,2,0,0,0.01690311026104842
2021/07/26,8591,l,0.17424975798644723,0.17424975798644723,1.5488867376573088,0.8112732815230459,10,24,0,0,1,0.01606178306955137
2021/08/19,8591,s,0.37333333333333335,0.37333333333333335,1.76,1.4611634651833176,6,51,2,0,1,-0.006790785585829799
2020/12/28,9843,s,-1.0,-1.0,1.346389228886169,2.245560699233055,12,23,0,0,0,0.0013009906360936477
2021/01/28,9843,s,0.682068206820682,0.682068206820682,1.2871287128712872,2.720511281972566,8,17,2,0,0,-0.016271576146988227
2021/03/01,9843,l,0.04950495049504951,0.04950495049504951,0.9900990099009901,0.6877036528897273,0,60,0,1,1,0.015654209882548627
2021/03/04,9843,s,-1.0,-1.0,1.5291992775436485,1.2100530820062831,4,0,0,0,0,-0.012201995324620855
