date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2015/05/07,9843,s,0.4,0.5761316872427984,1.02880658436214,1.3696175069565628,3,57,0,0,1,-0.008968529508289982
2015/06/12,9843,l,-0.21212121212121213,-0.33175355450236965,0.9004739336492891,1.5155009389516687,2,30,1,0,0,0.0023946461187941536
2015/06/30,9843,l,0.8108108108108109,1.724137931034483,2.1264367816091956,2.0580793619391717,5,0,4,0,1,0.0032153237576423538
2015/07/09,9843,s,-0.47297297297297297,-1.6706443914081146,1.5751789976133652,1.3793846123723654,3,53,0,0,0,-0.015952261769897544
2015/07/14,9843,l,0.4,0.8064516129032259,0.967741935483871,0.5986923761031244,5,5,2,0,0,0.01321866800864327
2015/08/21,9843,s,1.4821428571428572,2.515151515151515,0.9090909090909091,1.1810752578502492,0,27,0,0,0,-0.016082046490082637
2015/08/24,9843,s,0.8367346938775511,1.2257100149476832,1.2556053811659194,1.5180873701339341,1,23,0,0,1,-0.01856262377269211
2015/08/25,9843,s,-1.0,-2.7496382054992763,1.3024602026049203,1.7593147751605995,0,2,0,0,0,-0.01990326136905445
2015/08/27,9843,l,0.5588235294117647,0.5177111716621253,0.5449591280653951,1.6668829406976606,1,50,0,0,0,0.016522980296384056
2015/08/28,9843,l,-1.0,-1.6282225237449117,0.6784260515603799,1.3893562587871944,2,38,0,0,0,0.01799731243579892
2015/09/02,9843,s,-1.0,-1.456043956043956,0.521978021978022,0.9124031518184412,0,10,0,0,0,-0.016728238784213395
2015/09/04,9843,l,-1.0,-0.7650273224043715,0.6557377049180327,1.2850482349655157,4,43,2,0,1,0.007135475589292805
2015/09/09,9843,l,2.0,2.051282051282051,0.9230769230769231,1.1034354573897958,1,56,0,0,1,0.018996297715968436
2015/09/10,9843,s,-1.0,-0.6809583858764187,0.6809583858764187,0.9076611067422706,2,20,0,1,1,-0.018745894490879524
2015/09/29,9843,s,-0.25,-0.33678756476683935,1.0103626943005182,1.6523325514725045,12,10,1,0,0,-0.016193154930742828
2015/09/30,9843,l,1.7826086956521738,1.056701030927835,0.5154639175257731,0.9857438651066486,0,60,0,0,1,0.01553378332085118
2015/10/23,9843,l,-1.0,-0.9574468085106383,0.851063829787234,1.3998225826891395,4,56,1,0,1,0.017725228047279704
2015/11/04,9843,l,1.8461538461538463,1.9672131147540985,0.9836065573770492,1.4904007347045876,12,42,3,0,1,0.013813449915539172
2015/12/17,9843,l,-0.5892857142857143,-1.527777777777778,1.3888888888888888,1.1248737894452423,10,5,1,0,1,0.01651766333804201
2015/12/24,9843,l,-1.0,-1.5010141987829615,1.3793103448275863,0.994192316187457,12,7,1,0,1,0.009779898023476792
2016/01/12,9843,s,0.225,0.2980132450331126,0.695364238410596,2.0478569408723053,2,7,1,0,1,-0.012828032157378525
2016/01/14,9843,s,-0.6764705882352942,-0.7628524046434495,0.8955223880597015,0.9170617321710761,3,4,0,0,1,-0.01866713179265997
2016/01/18,9843,s,-1.0,-1.0264900662251655,0.7947019867549668,1.069069527700355,4,3,0,0,1,-0.018672534322110274
2016/01/22,9843,l,1.3076923076923077,1.1221122112211221,0.858085808580858,0.9530829055050068,0,60,0,0,1,0.019944734617531282
2016/01/25,9843,l,0.22807017543859648,0.4340567612687813,0.6343906510851419,1.3281259971155441,1,58,0,0,0,0.011043410012542507
2016/01/27,9843,l,0.717948717948718,0.9411764705882353,0.773109243697479,0.8541476113417295,4,54,0,0,1,0.01438095865077876
2016/02/01,9843,l,0.02127659574468085,0.03333333333333333,0.7666666666666667,0.9486003991154738,3,39,0,0,0,0.01034917771701588
2016/02/02,9843,s,-1.0,-1.0402684563758389,1.0067114093959733,0.6872047908232118,3,21,0,0,1,-0.008323990231303998
2016/02/05,9843,s,1.0857142857142856,2.483660130718954,1.1111111111111112,1.4217470906374292,5,11,0,0,0,-0.014928726857569453
2016/02/08,9843,s,2.27027027027027,2.8187919463087248,0.8389261744966443,1.2700320512820513,7,3,0,0,0,-0.011812416354976565
2016/02/09,9843,s,2.5135135135135136,3.1051752921535893,1.001669449081803,1.4294670846394983,7,4,1,0,1,-0.019848508906570597
2016/02/12,9843,s,-0.3655913978494624,-1.0381679389312977,1.1603053435114503,2.1656313076877853,1,0,0,0,0,-0.018272314249184865
2016/02/15,9843,l,-0.2222222222222222,-0.413589364844904,1.1816838995568686,1.6049529271032135,1,59,0,0,0,0.019780493171426165
2016/02/18,9843,l,-0.175,-0.1958041958041958,0.8391608391608392,0.8341751116035061,2,57,2,0,1,0.01905235799135656
2016/03/02,9843,l,0.13636363636363635,0.16997167138810199,0.6515580736543909,0.5973335140354741,4,43,2,0,0,0.019021467146518783
2016/03/14,9843,l,-0.1935483870967742,-0.21015761821366025,0.7005253940455342,0.571070038496714,2,23,1,0,0,0.012790109375655015
2016/03/29,9843,l,-0.2111111111111111,-0.7883817427385892,3.195020746887967,2.397033611100036,4,0,3,0,1,-0.008701224497895175
2016/04/15,9843,s,-0.8611111111111112,-1.222879684418146,0.8678500986193294,0.7941986194789131,4,56,2,0,0,-0.011274285156746616
2016/04/18,9843,s,-1.0,-1.2790697674418605,1.0852713178294573,0.7857264027621167,6,53,4,0,1,-0.019395739442534164
2016/04/19,9843,l,0.7391304347826086,0.6563706563706563,0.8108108108108109,0.6247619047619047,5,9,0,0,0,0.018844368531483514
2016/05/02,9843,s,-0.9655172413793104,-2.2857142857142856,1.3877551020408163,0.7767333380450915,9,38,0,0,0,-0.018537685894378028
2016/05/25,9843,l,0.7837837837837838,1.4111922141119222,1.6545012165450121,1.657698151430742,17,1,5,0,1,0.01609757339339442
2016/06/23,9843,l,0.5595238095238095,2.065934065934066,2.6373626373626373,2.192413478650958,1,0,0,0,0,0.00204721606003349
2016/06/27,9843,l,0.0898876404494382,0.32388663967611336,1.2955465587044535,2.030772515579754,2,0,1,0,1,0.01344701251068414
2016/06/28,9843,s,0.46153846153846156,0.9195402298850575,1.1111111111111112,1.2881899228688771,0,60,0,1,1,-0.014011173666048085
2016/06/29,9843,s,-1.446808510638298,-2.4817518248175183,1.094890510948905,1.8518709278669105,0,60,0,1,1,0.013065859869452407
2016/07/01,9843,l,0.047619047619047616,0.1672240802675585,2.9765886287625416,2.3828354681393176,5,0,5,0,1,0.007839023312908667
2016/07/19,9843,s,-1.0,-1.8434343434343434,0.7575757575757576,1.1918798336833405,3,47,0,0,0,0.0069245386520062685
2016/08/24,9843,s,0.6842105263157895,1.0955056179775282,1.5168539325842696,2.812155770103026,8,16,1,0,1,0.003203542869889397
2016/09/12,9843,s,-1.0,-0.8814589665653495,0.7598784194528876,0.546903035957798,6,5,1,0,1,-0.01281404428684585
2016/09/28,9843,l,-0.44871794871794873,-1.2773722627737225,1.532846715328467,2.2968780188432647,1,24,1,0,0,-0.010725290743847444
2016/12/26,9843,l,-1.0,-1.4256619144602851,1.2219959266802445,1.0674768220087218,3,0,2,0,1,-0.0017119911960620292
2017/03/29,9843,l,1.236842105263158,2.41025641025641,1.7435897435897436,3.1797502100901216,14,2,3,0,1,0.000724370888309917
