date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2016/07/14,8194,l,-1.0,-1.0,2.347826086956522,3.058547092226356,1,4,0,0,0,0.0006635274895681056
2019/11/01,8194,s,-0.9999999999999987,-0.9999999999999987,2.3130300693909023,1.1037155615468868,12,47,9,0,1,-0.0085728467346853
2020/07/13,8194,l,2.409448818897638,2.409448818897638,2.204724409448819,7.522419186652764,3,0,3,1,1,0.013503322669745962
2020/09/16,8194,l,0.8711256117455138,0.8711256117455138,3.2626427406199023,6.0900916185951814,8,27,6,0,1,-0.001264555067194937
2015/04/27,6436,l,2.105090311986861,2.105090311986861,3.61247947454844,5.281926811053025,14,0,1,0,0,0.002185809818561721
2015/07/30,6436,l,-0.587962962962965,-0.587962962962965,2.2916666666666665,1.5891442050303464,9,21,5,0,1,0.007274819225421416
2016/02/04,6436,l,1.4740651387213488,1.4740651387213488,2.55729794933655,2.3574198429963116,8,31,1,0,1,-0.006988438886061189
2016/04/26,6436,s,-0.999999999999999,-0.999999999999999,2.3629719853836786,1.3877191879831563,15,44,8,0,1,-0.004629772984007269
2016/07/29,6436,s,0.6582278481012658,0.6582278481012658,2.1265822784810124,2.3125332665393405,11,1,2,0,0,-0.007110586738719308
2019/01/04,6436,s,-0.9999999999999977,-0.9999999999999977,2.231985940246046,1.6645147239550115,3,2,1,0,1,-0.01796873009282642
2019/05/07,6436,s,-1.0000000000000042,-1.0000000000000042,2.2573363431151243,1.4424091301428983,1,59,0,0,0,-0.0033393639259741282
2020/02/25,6436,s,0.17028380634390347,0.17028380634390347,3.33889816360601,2.120620526061675,2,0,1,0,1,-0.018701623227521346
2020/03/13,6436,s,-1.000000000000001,-1.000000000000001,2.706359945872801,1.5941952967916775,1,0,0,0,0,-0.020267645421810664
2020/03/23,6436,l,-1.0000000000000018,-1.0000000000000018,2.1852970795568982,2.2364842502122517,5,55,4,0,1,0.0010717200623698764
2020/09/23,6436,s,-0.7238723872387258,-0.7238723872387258,2.2002200220022,1.4160382617880931,3,57,2,0,1,-0.004897625458577153
2020/10/06,6436,l,-0.26976744186046514,-0.26976744186046514,2.511627906976744,2.1568679779029116,8,0,0,0,1,0.004629776588507117
2021/07/28,6436,s,2.503735325506941,2.503735325506941,2.134471718249733,5.058597326496979,7,23,1,1,1,-0.010555154732426115
2015/10/28,4816,l,1.6490156143923977,1.6490156143923977,3.705023761031907,13.75381485249237,11,0,1,0,0,0.0026575008627556748
2016/01/13,4816,l,0.19741991592984337,0.19741991592984337,2.439483983185969,2.100342785914615,2,43,1,1,1,0.013366660936549006
2016/02/01,4816,s,-0.030740318142156706,-0.030740318142156706,2.550506745419156,2.78580814717477,15,4,5,0,0,0.01034917771701588
2016/03/23,4816,l,-0.2541464022945517,-0.2541464022945517,2.9105873550317996,2.161879895561358,5,23,5,0,1,0.0010393845810934752
2016/10/25,4816,l,-0.11235319088722306,-0.11235319088722306,2.077260506579881,7.471590909090909,9,6,2,0,0,0.0037256838350233296
2017/09/08,4816,l,-1.0000000000000007,-1.0000000000000007,2.098721166487391,1.4906832298136645,6,3,0,0,0,-0.005081323866343102
2018/01/29,4816,l,-1.0000000000000029,-1.0000000000000029,3.487966515521452,30.921348314606742,11,0,10,0,0,0.0031846810325711875
2018/03/28,4816,s,-1.0000000000000009,-1.0000000000000009,2.9358137242823723,6.91588785046729,19,15,18,0,1,-0.01990259563584918
2020/02/03,4816,s,-1.0,-1.0,2.7106227106227108,3.7777984553828974,1,10,0,0,0,-0.014260178115403538
2021/09/06,4816,l,1.3069082672706682,1.3069082672706682,2.2650056625141564,3.0858186244674375,1,0,0,0,0,0.012809275988040438
2016/06/28,3028,s,-1.0,-1.0,2.066666666666667,1.541320293398533,13,0,9,0,1,-0.014011173666048085
2018/11/09,3028,s,-1.0000000000000033,-1.0000000000000033,2.1314387211367674,1.733057026632896,13,7,4,0,0,-0.0006941813285232903
2019/02/04,3028,s,-0.999999999999997,-0.999999999999997,2.6143790849673203,1.5890016785228998,4,2,1,0,0,0.0020929951766347483
2019/08/08,3028,l,4.004618937644344,4.004618937644344,3.3718244803695154,5.928038245408035,14,35,0,0,0,0.000620474387519134
2020/08/03,3028,l,-0.6979166666666655,-0.6979166666666655,2.8125,1.234894010433864,2,58,1,1,1,0.010943344081068713
2021/01/22,3028,l,-0.2675814751286434,-0.2675814751286434,4.288164665523157,12.475009670392312,16,3,0,0,0,-0.006143229824118484
2016/08/03,7267,l,-0.3515625,-0.3515625,2.34375,1.7832688180669487,12,24,7,0,1,-0.010015587394647824
2017/01/06,7267,s,-0.9999999999999964,-0.9999999999999964,2.16796875,0.9779971911307827,12,48,1,0,0,-0.00651308944509643
2017/01/31,7267,s,-0.061325420375863686,-0.061325420375863686,2.077151335311573,1.2965185553810008,14,28,1,0,1,-0.011539146619443075
