,date,code,position_x,pl_lc_1day,pl_atr_1day,x1_x,x2_x,x3_x,x4_x,x5_x,x6_x,x7_x,x8_x,position_y,pl_lc_3day,pl_atr_3day,x1_y,x2_y,x3_y,x4_y,x5_y,x6_y,x7_y,x8_y,diff
0,2015/05/07,9843,s,0.48,0.4938271604938271,1.02880658436214,1.3696175069565628,3,57,0,0,1,-0.0089685295082899,s,0.56,0.5761316872427984,1.02880658436214,1.3696175069565628,3.0,57.0,0.0,0.0,1.0,-0.0089685295082899,0.08230452674897132
1,2015/06/12,9843,l,0.3684210526315789,0.3317535545023696,0.9004739336492891,1.5155009389516687,2,30,1,0,0,0.0023946461187941,l,-0.3684210526315789,-0.3317535545023696,0.9004739336492891,1.5155009389516687,2.0,30.0,1.0,0.0,0.0,0.0023946461187941,-0.6635071090047392
2,2015/06/30,9843,l,-0.054054054054054,-0.1149425287356322,2.126436781609196,2.058079361939172,5,0,4,0,1,0.0032153237576423,l,0.8108108108108109,1.724137931034483,2.126436781609196,2.058079361939172,5.0,0.0,4.0,0.0,1.0,0.0032153237576423,1.8390804597701154
3,2015/07/09,9843,s,-1.0,-1.5751789976133652,1.5751789976133652,1.3793846123723654,3,53,0,0,0,-0.0159522617698975,s,-1.0,-1.5751789976133652,1.5751789976133652,1.3793846123723654,3.0,53.0,0.0,0.0,0.0,-0.0159522617698975,0.0
4,2015/07/14,9843,l,0.0,0.0,0.967741935483871,0.5986923761031244,5,5,2,0,0,0.0132186680086432,l,-1.0,-0.967741935483871,0.967741935483871,0.5986923761031244,5.0,5.0,2.0,0.0,0.0,0.0132186680086432,-0.967741935483871
5,2015/08/21,9843,s,-0.3,-0.2727272727272727,0.9090909090909092,1.1810752578502492,0,27,0,0,0,-0.0160820464900826,s,2.7666666666666666,2.515151515151515,0.9090909090909092,1.1810752578502492,0.0,27.0,0.0,0.0,0.0,-0.0160820464900826,2.787878787878788
6,2015/08/24,9843,s,0.6666666666666666,0.8370702541106129,1.2556053811659194,1.518087370133934,1,23,0,0,1,-0.0185626237726921,s,0.9761904761904762,1.2257100149476832,1.2556053811659194,1.518087370133934,1.0,23.0,0.0,0.0,1.0,-0.0185626237726921,0.3886397608370703
7,2015/08/25,9843,s,-1.0,-1.3024602026049203,1.3024602026049203,1.7593147751605995,0,2,0,0,0,-0.0199032613690544,s,-1.0,-1.3024602026049203,1.3024602026049203,1.7593147751605995,0.0,2.0,0.0,0.0,0.0,-0.0199032613690544,0.0
8,2015/08/27,9843,l,1.75,0.9536784741144416,0.5449591280653951,1.6668829406976606,1,50,0,0,0,0.016522980296384,l,0.95,0.5177111716621253,0.5449591280653951,1.6668829406976606,1.0,50.0,0.0,0.0,0.0,0.016522980296384,-0.4359673024523163
9,2015/08/28,9843,l,-1.0,-0.6784260515603799,0.6784260515603799,1.3893562587871944,2,38,0,0,0,0.0179973124357989,l,-1.0,-0.6784260515603799,0.6784260515603799,1.3893562587871944,2.0,38.0,0.0,0.0,0.0,0.0179973124357989,0.0
10,2015/09/02,9843,s,-1.0,-0.521978021978022,0.521978021978022,0.9124031518184412,0,10,0,0,0,-0.0167282387842133,s,-1.0,-0.521978021978022,0.521978021978022,0.9124031518184412,0.0,10.0,0.0,0.0,0.0,-0.0167282387842133,0.0
11,2015/09/04,9843,l,-1.0,-0.6557377049180327,0.6557377049180327,1.2850482349655157,4,43,2,0,1,0.0071354755892928,l,-1.0,-0.6557377049180327,0.6557377049180327,1.2850482349655157,4.0,43.0,2.0,0.0,1.0,0.0071354755892928,0.0
12,2015/09/09,9843,l,1.25,1.153846153846154,0.9230769230769232,1.1034354573897958,1,56,0,0,1,0.0189962977159684,l,2.2222222222222223,2.0512820512820515,0.9230769230769232,1.1034354573897958,1.0,56.0,0.0,0.0,1.0,0.0189962977159684,0.8974358974358976
13,2015/09/10,9843,s,-0.4074074074074074,-0.2774274905422446,0.6809583858764187,0.9076611067422706,2,20,0,1,1,-0.0187458944908795,s,-1.0,-0.6809583858764187,0.6809583858764187,0.9076611067422706,2.0,20.0,0.0,1.0,1.0,-0.0187458944908795,-0.4035308953341741
14,2015/09/29,9843,s,0.8205128205128205,0.8290155440414507,1.0103626943005182,1.6523325514725045,12,10,1,0,0,-0.0161931549307428,s,-0.3333333333333333,-0.3367875647668393,1.0103626943005182,1.6523325514725045,12.0,10.0,1.0,0.0,0.0,-0.0161931549307428,-1.16580310880829
15,2015/09/30,9843,l,0.1,0.0515463917525773,0.5154639175257731,0.9857438651066486,0,60,0,0,1,0.0155337833208511,l,2.05,1.0567010309278349,0.5154639175257731,0.9857438651066486,0.0,60.0,0.0,0.0,1.0,0.0155337833208511,1.0051546391752575
16,2015/10/23,9843,l,-1.0,-0.851063829787234,0.851063829787234,1.3998225826891395,4,56,1,0,1,0.0177252280472797,l,-1.0,-0.851063829787234,0.851063829787234,1.3998225826891395,4.0,56.0,1.0,0.0,1.0,0.0177252280472797,0.0
17,2015/11/04,9843,l,-0.0833333333333333,-0.081967213114754,0.9836065573770492,1.4904007347045876,12,42,3,0,1,0.0138134499155391,l,2.0,1.9672131147540983,0.9836065573770492,1.4904007347045876,12.0,42.0,3.0,0.0,1.0,0.0138134499155391,2.0491803278688523
18,2015/12/17,9843,l,0.2,0.2777777777777778,1.3888888888888888,1.1248737894452423,10,5,1,0,1,0.016517663338042,l,-1.0,-1.3888888888888888,1.3888888888888888,1.1248737894452423,10.0,5.0,1.0,0.0,1.0,0.016517663338042,-1.6666666666666665
19,2015/12/24,9843,l,-1.0,-1.3793103448275863,1.3793103448275863,0.994192316187457,12,7,1,0,1,0.0097798980234767,l,-1.0,-1.3793103448275863,1.3793103448275863,0.994192316187457,12.0,7.0,1.0,0.0,1.0,0.0097798980234767,0.0
20,2016/01/12,9843,s,0.8571428571428571,0.5960264900662251,0.695364238410596,2.0478569408723053,2,7,1,0,1,-0.0128280321573785,s,0.4285714285714285,0.2980132450331125,0.695364238410596,2.0478569408723053,2.0,7.0,1.0,0.0,1.0,-0.0128280321573785,-0.2980132450331126
21,2016/01/14,9843,s,-0.1851851851851851,-0.165837479270315,0.8955223880597015,0.917061732171076,3,4,0,0,1,-0.0186671317926599,s,-1.0,-0.8955223880597015,0.8955223880597015,0.917061732171076,3.0,4.0,0.0,0.0,1.0,-0.0186671317926599,-0.7296849087893865
22,2016/01/18,9843,s,-1.0,-0.7947019867549668,0.7947019867549668,1.069069527700355,4,3,0,0,1,-0.0186725343221102,s,-1.0,-0.7947019867549668,0.7947019867549668,1.069069527700355,4.0,3.0,0.0,0.0,1.0,-0.0186725343221102,0.0
23,2016/01/22,9843,l,0.7692307692307693,0.6600660066006601,0.858085808580858,0.9530829055050068,0,60,0,0,1,0.0199447346175312,l,1.3076923076923077,1.122112211221122,0.858085808580858,0.9530829055050068,0.0,60.0,0.0,0.0,1.0,0.0199447346175312,0.46204620462046186
24,2016/01/25,9843,l,0.8947368421052632,0.5676126878130218,0.6343906510851419,1.328125997115544,1,58,0,0,0,0.0110434100125425,l,-1.0,-0.6343906510851419,0.6343906510851419,1.328125997115544,1.0,58.0,0.0,0.0,0.0,0.0110434100125425,-1.2020033388981637
25,2016/01/27,9843,l,-0.217391304347826,-0.1680672268907563,0.773109243697479,0.8541476113417295,4,54,0,0,1,0.0143809586507787,l,1.2173913043478262,0.9411764705882354,0.773109243697479,0.8541476113417295,4.0,54.0,0.0,0.0,1.0,0.0143809586507787,1.1092436974789917
26,2016/02/01,9843,l,0.2608695652173913,0.2,0.7666666666666667,0.9486003991154738,3,39,0,0,0,0.0103491777170158,l,-1.0434782608695652,-0.8,0.7666666666666667,0.9486003991154738,3.0,39.0,0.0,0.0,0.0,0.0103491777170158,-1.0
27,2016/02/02,9843,s,-1.0,-1.0067114093959733,1.0067114093959733,0.6872047908232118,3,21,0,0,1,-0.0083239902313039,s,-1.0,-1.0067114093959733,1.0067114093959733,0.6872047908232118,3.0,21.0,0.0,0.0,1.0,-0.0083239902313039,0.0
28,2016/02/05,9843,s,0.2352941176470588,0.261437908496732,1.1111111111111112,1.4217470906374292,5,11,0,0,0,-0.0149287268575694,s,2.235294117647059,2.4836601307189543,1.1111111111111112,1.4217470906374292,5.0,11.0,0.0,0.0,0.0,-0.0149287268575694,2.2222222222222223
29,2016/02/08,9843,s,-1.0,-0.8389261744966443,0.8389261744966443,1.270032051282051,7,3,0,0,0,-0.0118124163549765,s,-1.0,-0.8389261744966443,0.8389261744966443,1.270032051282051,7.0,3.0,0.0,0.0,0.0,-0.0118124163549765,0.0
30,2016/02/09,9843,s,1.2333333333333334,1.2353923205342237,1.001669449081803,1.4294670846394983,7,4,1,0,1,-0.0198485089065705,s,3.1,3.1051752921535893,1.001669449081803,1.4294670846394983,7.0,4.0,1.0,0.0,1.0,-0.0198485089065705,1.8697829716193657
31,2016/02/12,9843,s,-1.0,-1.1603053435114503,1.1603053435114503,2.1656313076877853,1,0,0,0,0,-0.0182723142491848,s,-1.0,-1.1603053435114503,1.1603053435114503,2.1656313076877853,1.0,0.0,0.0,0.0,0.0,-0.0182723142491848,0.0
32,2016/02/15,9843,l,-0.225,-0.2658788774002954,1.1816838995568686,1.6049529271032137,1,59,0,0,0,0.0197804931714261,l,-0.35,-0.413589364844904,1.1816838995568686,1.6049529271032137,1.0,59.0,0.0,0.0,0.0,0.0197804931714261,-0.14771048744460857
33,2016/02/18,9843,l,-0.5666666666666667,-0.4755244755244755,0.8391608391608392,0.8341751116035061,2,57,2,0,1,0.0190523579913565,l,-1.0,-0.8391608391608392,0.8391608391608392,0.8341751116035061,2.0,57.0,2.0,0.0,1.0,0.0190523579913565,-0.36363636363636365
34,2016/03/02,9843,l,0.0,0.0,0.6515580736543909,0.5973335140354741,4,43,2,0,0,0.0190214671465187,l,0.2608695652173913,0.1699716713881019,0.6515580736543909,0.5973335140354741,4.0,43.0,2.0,0.0,0.0,0.0190214671465187,0.1699716713881019
35,2016/03/14,9843,l,0.05,0.0350262697022767,0.7005253940455342,0.571070038496714,2,23,1,0,0,0.012790109375655,l,-1.0,-0.7005253940455342,0.7005253940455342,0.571070038496714,2.0,23.0,1.0,0.0,0.0,0.012790109375655,-0.7355516637478109
36,2016/03/29,9843,l,-0.1948051948051948,-0.6224066390041495,3.195020746887967,2.397033611100036,4,0,3,0,1,-0.0087012244978951,l,-0.2467532467532467,-0.7883817427385893,3.195020746887967,2.397033611100036,4.0,0.0,3.0,0.0,1.0,-0.0087012244978951,-0.1659751037344398
37,2016/04/15,9843,s,-1.0,-0.8678500986193294,0.8678500986193294,0.7941986194789131,4,56,2,0,0,-0.0112742851567466,s,-1.0,-0.8678500986193294,0.8678500986193294,0.7941986194789131,4.0,56.0,2.0,0.0,0.0,-0.0112742851567466,0.0
38,2016/04/18,9843,s,-1.0,-1.0852713178294573,1.0852713178294573,0.7857264027621167,6,53,4,0,1,-0.0193957394425341,s,-1.0,-1.0852713178294573,1.0852713178294573,0.7857264027621167,6.0,53.0,4.0,0.0,1.0,-0.0193957394425341,0.0
39,2016/04/19,9843,l,0.7619047619047619,0.6177606177606177,0.8108108108108109,0.6247619047619047,5,9,0,0,0,0.0188443685314835,l,0.8095238095238095,0.6563706563706564,0.8108108108108109,0.6247619047619047,5.0,9.0,0.0,0.0,0.0,0.0188443685314835,0.038610038610038644
40,2016/05/02,9843,s,-0.2941176470588235,-0.4081632653061224,1.3877551020408163,0.7767333380450915,9,38,0,0,0,-0.018537685894378,s,-1.0,-1.3877551020408163,1.3877551020408163,0.7767333380450915,9.0,38.0,0.0,0.0,0.0,-0.018537685894378,-0.9795918367346939
41,2016/05/25,9843,l,0.7647058823529411,1.265206812652068,1.654501216545012,1.657698151430742,17,1,5,0,1,0.0160975733933944,l,0.8529411764705882,1.411192214111922,1.654501216545012,1.657698151430742,17.0,1.0,5.0,0.0,1.0,0.0160975733933944,0.14598540145985406
42,2016/06/23,9843,l,-0.1833333333333333,-0.4835164835164834,2.6373626373626373,2.192413478650958,1,0,0,0,0,0.0020472160600334,l,-1.0,-2.6373626373626373,2.6373626373626373,2.192413478650958,1.0,0.0,0.0,0.0,0.0,0.0020472160600334,-2.1538461538461537
43,2016/06/27,9843,l,1.0625,1.376518218623482,1.2955465587044537,2.030772515579754,2,0,1,0,1,0.0134470125106841,l,0.25,0.3238866396761133,1.2955465587044537,2.030772515579754,2.0,0.0,1.0,0.0,1.0,0.0134470125106841,-1.0526315789473686
44,2016/06/28,9843,s,-1.0,-1.1111111111111112,1.1111111111111112,1.2881899228688771,0,60,0,1,1,-0.014011173666048,s,-1.0,-1.1111111111111112,1.1111111111111112,1.2881899228688771,0.0,60.0,0.0,1.0,1.0,-0.014011173666048,0.0
45,2016/06/29,9843,s,-0.2,-0.218978102189781,1.094890510948905,1.8518709278669103,0,60,0,1,1,0.0130658598694524,s,-2.2666666666666666,-2.4817518248175183,1.094890510948905,1.8518709278669103,0.0,60.0,0.0,1.0,1.0,0.0130658598694524,-2.2627737226277373
46,2016/07/01,9843,l,0.1011235955056179,0.3010033444816053,2.9765886287625416,2.3828354681393176,5,0,5,0,1,0.0078390233129086,l,0.0561797752808988,0.1672240802675585,2.9765886287625416,2.3828354681393176,5.0,0.0,5.0,0.0,1.0,0.0078390233129086,-0.13377926421404682
47,2016/07/19,9843,s,-1.0,-0.7575757575757576,0.7575757575757576,1.1918798336833405,3,47,0,0,0,0.0069245386520062,s,-1.0,-0.7575757575757576,0.7575757575757576,1.1918798336833405,3.0,47.0,0.0,0.0,0.0,0.0069245386520062,0.0
48,2016/08/24,9843,s,0.2222222222222222,0.3370786516853932,1.5168539325842696,2.812155770103026,8,16,1,0,1,0.0032035428698893,s,0.7222222222222222,1.095505617977528,1.5168539325842696,2.812155770103026,8.0,16.0,1.0,0.0,1.0,0.0032035428698893,0.7584269662921348
49,2016/09/12,9843,s,-1.0,-0.7598784194528876,0.7598784194528876,0.546903035957798,6,5,1,0,1,-0.0128140442868458,s,-1.0,-0.7598784194528876,0.7598784194528876,0.546903035957798,6.0,5.0,1.0,0.0,1.0,-0.0128140442868458,0.0
50,2016/09/28,9843,l,-1.0,-1.532846715328467,1.532846715328467,2.2968780188432647,1,24,1,0,0,-0.0107252907438474,l,-1.0,-1.532846715328467,1.532846715328467,2.2968780188432647,1.0,24.0,1.0,0.0,0.0,-0.0107252907438474,0.0
51,2016/12/26,9843,l,-1.0,-1.2219959266802445,1.2219959266802445,1.0674768220087218,3,0,2,0,1,-0.001711991196062,l,-1.0,-1.2219959266802445,1.2219959266802445,1.0674768220087218,3.0,0.0,2.0,0.0,1.0,-0.001711991196062,0.0
52,2017/03/29,9843,l,1.411764705882353,2.4615384615384617,1.7435897435897436,3.1797502100901216,14,2,3,0,1,0.0007243708883099,l,1.3823529411764706,2.41025641025641,1.7435897435897436,3.1797502100901216,14.0,2.0,3.0,0.0,1.0,0.0007243708883099,-0.051282051282051544
53,2017/04/07,9843,l,0.6666666666666666,1.2738853503184713,1.910828025477707,2.541019311746769,3,0,2,1,1,0.006340787199697,l,0.4444444444444444,0.8492569002123141,1.910828025477707,2.541019311746769,3.0,0.0,2.0,1.0,1.0,0.006340787199697,-0.42462845010615713
54,2017/06/29,9843,s,0.3625,0.9220985691573926,2.5437201907790143,5.148592003439381,2,26,0,0,0,0.0064807423197043,s,0.5,1.2718600953895072,2.5437201907790143,5.148592003439381,2.0,26.0,0.0,0.0,0.0,0.0064807423197043,0.34976152623211454
55,2017/07/25,9843,l,0.8333333333333334,1.0141987829614605,1.2170385395537526,1.6859614105123086,15,36,3,0,0,0.0001947368974358,l,1.1333333333333333,1.3793103448275863,1.2170385395537526,1.6859614105123086,15.0,36.0,3.0,0.0,0.0,0.0001947368974358,0.3651115618661258
